time,cash
2024-09-30,14.590027924736034
2024-10-31,-35.5260227041432
2024-11-30,-164.36789333815642
2024-12-31,-358.65754533704114
2025-01-31,-178.3709043845829
2025-02-28,113.08114619345088
2025-03-31,24.91446612176196
2025-04-30,-102.20241012485826
2025-05-31,-117.90256420108972
2025-06-30,0.0
2025-07-31,-81.75293038596556
2025-08-31,-127.589752203226
2025-09-30,-161.9935077811474
2025-10-31,-402.20207201206085
2025-11-30,-183.19475026665532
2025-12-31,-97.93963918053805
2026-01-31,94.90167555290554
2026-02-28,-208.56743949408565
2026-03-31,-266.9854043319647
2026-04-30,44.33277985627319
2026-05-31,46.210000000000036
2026-06-30,-201.9718395934242
2026-07-31,-34.88711263300593
2026-08-31,55.138681556762094
2026-09-30,-1.4891935867726716
