time,cash
2024-09-30,0.0
2024-10-31,0.0
2024-11-30,-160.127477988358
2024-12-31,-178.77905683166784
2025-01-31,-188.30070945060174
2025-02-28,149.13612534172807
2025-03-31,4.547473508864641e-13
2025-04-30,125.56644878946281
2025-05-31,0.0
2025-06-30,0.0
2025-07-31,-271.0715112594403
2025-08-31,25.25810911720282
2025-09-30,-190.79476579896573
2025-10-31,100.80898330726723
2025-11-30,48.918853698331986
2025-12-31,-86.73876541966638
2026-01-31,92.96659231922058
2026-02-28,-16.300479594664466
2026-03-31,-75.04476951352353
2026-04-30,9.094947017729282e-13
2026-05-31,46.210000000000036
2026-06-30,-172.21000000000004
2026-07-31,-82.41457079782049
2026-08-31,17.564775677365105
2026-09-30,-1.4891935867726716
