time,cash
2024-09-30,12.900464746816176
2024-10-31,-15.642008409724049
2024-11-30,-25.258509703899733
2024-12-31,-251.541732996257
2025-01-31,-13.22019493398102
2025-02-28,-163.48164487331314
2025-03-31,-8.26987001651105
2025-04-30,-145.3908176664204
2025-05-31,-209.39110393308692
2025-06-30,0.0
2025-07-31,-47.14777795401551
2025-08-31,-4.547473508864641e-13
2025-09-30,-49.53423368780568
2025-10-31,-470.42690865025406
2025-11-30,-359.1114001074684
2025-12-31,-19.34526753880391
2026-01-31,60.46781654179131
2026-02-28,-24.258752942203046
2026-03-31,-206.90166693109222
2026-04-30,199.60560381873893
2026-05-31,-80.84472139746322
2026-06-30,22.976853862846838
2026-07-31,106.79408209286885
2026-08-31,27.695329760997083
2026-09-30,0.0
