time,cash
2024-09-30,14.590027924736034
2024-10-31,-35.5260227041432
2024-11-30,-4.2404153497986385
2024-12-31,-179.8784885053733
2025-01-31,9.929805066019071
2025-02-28,-36.05497914827765
2025-03-31,24.91446612176219
2025-04-30,-227.76885891432084
2025-05-31,-117.90256420109017
2025-06-30,0.0
2025-07-31,189.31858087347473
2025-08-31,-152.84786132042882
2025-09-30,28.801258017817872
2025-10-31,-503.01105531932853
2025-11-30,-232.1136039649864
2025-12-31,-11.200873760872128
2026-01-31,56.23786531148289
2026-02-28,-192.26695989942164
2026-03-31,-191.94063481844205
2026-04-30,44.33277985627319
2026-05-31,0.0
2026-06-30,-29.761839593424156
2026-07-31,47.52745816481456
2026-08-31,37.57390587939608
2026-09-30,9.094947017729282e-13
