time,cash
2024-09-30,0.0
2024-10-31,14.658413048702755
2024-11-30,-152.75228443501874
2024-12-31,-18.449999999999932
2025-01-31,-23.014245095367414
2025-02-28,187.26859756664658
2025-03-31,-114.20999999999958
2025-04-30,-76.8108219756632
2025-05-31,-22.75554776562467
2025-06-30,-22.087757855903874
2025-07-31,-127.64906063636181
2025-08-31,-81.46648652428803
2025-09-30,-67.76175434336255
2025-10-31,38.7087639910078
2025-11-30,-17.68000000000029
2025-12-31,-102.65763543744652
2026-01-31,-9.094947017729282e-13
2026-02-28,0.0
2026-03-31,-51.95942970027136
2026-04-30,-41.80918554554046
2026-05-31,24.653667223106822
2026-06-30,0.6360465968691642
2026-07-31,-5.795573596329632
2026-08-31,0.25689559845250187
2026-09-30,9.094947017729282e-13
