time,cash
2024-09-30,12.900464746816176
2024-10-31,-0.9835953610212371
2024-11-30,-178.0107941389182
2024-12-31,-269.99173299625704
2025-01-31,-36.23444002934866
2025-02-28,-88.78799865095425
2025-03-31,-122.47987001651109
2025-04-30,-222.20163964208314
2025-05-31,-232.1466516987125
2025-06-30,-22.08775785590319
2025-07-31,-174.79683859037755
2025-08-31,-81.46648652428826
2025-09-30,-117.29598803116778
2025-10-31,-431.71814465924626
2025-11-30,-376.79140010746823
2025-12-31,-122.00290297624952
2026-01-31,60.46781654179131
2026-02-28,-24.258752942203955
2026-03-31,-258.8610966313636
2026-04-30,157.79641827319756
2026-05-31,-56.191054174356395
2026-06-30,99.09290045971557
2026-07-31,100.99850849653922
2026-08-31,27.952225359449585
2026-09-30,9.094947017729282e-13
