side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
L,200.0,1.5061772092795578,4.0,2655.73,555.0,558.0,2024-10-01 15:00:00,2024-10-01 18:00:00,2655.73,2634.2,-0.811,-36.43,ACX,3.0,0.045,-0.851,8.1,MILD_UP,-0.39835224213304815,-0.39835224213304815,-0.39835224213304815,-36.82835224213305,200.0,1.5061772092795578,4.0,2655.73,555.0,562.0,2024-10-01 22:00:00,2655.73,2579.72,-2.862,-118.48,MH,7.0,0.045,-3.41,8.1,MILD_UP,-0.39835224213304815,-0.39835224213304815,-0.39835224213304815,-118.87835224213305,both
L,200.0,1.6829492001783926,4.0,2376.78,622.0,629.0,2024-10-04 10:00:00,2024-10-04 17:00:00,2376.78,2380.22,0.145,1.79,BE,7.0,0.659,-0.706,16.2,DOWN,-0.14979722902414191,-0.14979722902414191,-0.14979722902414191,1.6402027709758582,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.6346546791990193,4.0,2447.0,730.0,735.0,2024-10-08 22:00:00,2024-10-09 03:00:00,2447.0,2435.51,-0.47,-22.78,MH,5.0,0.34,-1.92,10.1,DOWN,-0.33116839091507927,-0.33116839091507927,-0.33116839091507927,-23.11116839091508,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.6251508343118095,4.0,2461.31,742.0,745.0,2024-10-09 10:00:00,2024-10-09 13:00:00,2461.31,2444.0,-0.703,-32.13,ACX,3.0,0.026,-0.96,19.2,DOWN,0.0,0.0,0.0,-32.13,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.5767772250297616,4.0,2536.82,1305.0,1307.0,2024-11-01 21:00:00,2024-11-01 23:00:00,2536.82,2562.0,0.993,35.7,MFE,2.0,2.012,-0.268,17.2,SIDE,0.0,0.0,0.0,35.7,200.0,1.5767772250297616,4.0,2536.82,1305.0,1307.0,2024-11-01 23:00:00,2536.82,2562.0,0.993,35.7,MFE,2.0,2.012,-0.268,17.2,SIDE,0.0,0.0,0.0,35.7,both
L,200.0,1.637787022175636,4.0,2442.32,1396.0,1399.0,2024-11-05 16:00:00,2024-11-05 19:00:00,2442.32,2434.66,-0.314,-16.55,ACX,3.0,0.204,-0.538,9.1,SIDE,0.0,-0.4000151296783386,0.0,-16.55,200.0,1.637787022175636,4.0,2442.32,1396.0,1402.0,2024-11-05 22:00:00,2442.32,2441.19,-0.046,-5.85,MH,6.0,0.215,-0.538,9.1,SIDE,0.0,-0.4000151296783386,0.0,-5.85,both
L,200.0,1.5184414716734742,4.0,2634.28,1428.0,1435.0,2024-11-07 00:00:00,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7.0,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87,200.0,1.5184414716734742,4.0,2634.28,1428.0,1435.0,2024-11-07 07:00:00,2634.28,2736.27,3.872,150.87,TP,7.0,4.242,-0.024,14.1,SIDE,0.0,-0.4000059943923956,0.0,150.87,both
L,200.0,1.3676195555920254,4.0,2924.79,1471.0,1475.0,2024-11-08 19:00:00,2024-11-08 23:00:00,2924.79,2913.46,-0.387,-19.5,MFE,4.0,1.135,-0.565,2.0,MILD_UP,0.0,0.0,0.0,-19.5,200.0,1.3676195555920254,4.0,2924.79,1471.0,1475.0,2024-11-08 23:00:00,2924.79,2913.46,-0.387,-19.5,MFE,4.0,1.135,-0.565,2.0,MILD_UP,0.0,0.0,0.0,-19.5,both
L,200.0,1.2698372386119408,4.0,3150.01,1784.0,1785.0,2024-11-21 20:00:00,2024-11-21 21:00:00,3150.01,3288.05,4.382,171.29,TP,1.0,5.428,-0.047,6.1,DOWN,0.0,0.0,0.0,171.29,200.0,1.2698372386119408,4.0,3150.01,1784.0,1785.0,2024-11-21 21:00:00,3150.01,3288.05,4.382,171.29,TP,1.0,5.428,-0.047,6.1,DOWN,0.0,0.0,0.0,171.29,both
L,200.0,1.175899930915879,4.0,3401.65,1876.0,1879.0,2024-11-25 16:00:00,2024-11-25 19:00:00,3401.65,3504.57,3.026,117.02,TP,3.0,3.83,-0.083,22.2,MILD_UP,0.0,-0.9574028145164846,0.0,117.02,200.0,1.175899930915879,4.0,3401.65,1876.0,1879.0,2024-11-25 19:00:00,3401.65,3504.57,3.026,117.02,TP,3.0,3.83,-0.083,22.2,MILD_UP,0.0,-0.9574028145164846,0.0,117.02,both
