bar,side,root_entry_bar,decision_ts
1297,S,1294,2024-11-01 13:00:00
2123,L,2118,2024-12-05 23:00:00
9832,S,9822,2025-10-23 04:00:00
16557,S,16548,2026-07-30 09:00:00
