bar,side,allowed,decision_ts
4587,S,True,2025-03-18 15:00:00
4615,L,False,2025-03-19 19:00:00
4634,S,True,2025-03-20 14:00:00
4786,S,False,2025-03-26 22:00:00
4787,S,True,2025-03-26 23:00:00
4824,S,False,2025-03-28 12:00:00
4923,L,False,2025-04-01 15:00:00
4946,S,True,2025-04-02 14:00:00
4975,S,False,2025-04-03 19:00:00
4977,S,True,2025-04-03 21:00:00
4996,L,False,2025-04-04 16:00:00
4997,L,True,2025-04-04 17:00:00
5666,S,True,2025-05-02 14:00:00
5790,L,False,2025-05-07 18:00:00
5835,L,True,2025-05-09 15:00:00
5974,S,False,2025-05-15 10:00:00
5978,S,True,2025-05-15 14:00:00
6105,S,False,2025-05-20 21:00:00
6106,S,True,2025-05-20 22:00:00
6148,L,True,2025-05-22 16:00:00
6166,L,False,2025-05-23 10:00:00
6286,S,False,2025-05-28 10:00:00
6291,S,True,2025-05-28 15:00:00
6324,S,True,2025-05-30 00:00:00
6462,L,True,2025-06-04 18:00:00
6514,L,True,2025-06-06 22:00:00
6608,L,False,2025-06-10 20:00:00
6647,S,True,2025-06-12 11:00:00
6684,L,True,2025-06-14 00:00:00
6822,L,False,2025-06-19 18:00:00
6823,L,True,2025-06-19 19:00:00
7135,L,True,2025-07-02 19:00:00
7178,S,False,2025-07-04 14:00:00
7179,S,True,2025-07-04 15:00:00
7274,L,False,2025-07-08 14:00:00
7275,L,True,2025-07-08 15:00:00
7305,L,True,2025-07-09 21:00:00
7319,L,True,2025-07-10 11:00:00
7346,L,True,2025-07-11 14:00:00
7438,S,True,2025-07-15 10:00:00
7618,S,True,2025-07-22 22:00:00
7638,S,False,2025-07-23 18:00:00
7641,S,True,2025-07-23 21:00:00
7679,S,False,2025-07-25 11:00:00
7680,S,True,2025-07-25 12:00:00
7779,L,False,2025-07-29 15:00:00
7780,L,True,2025-07-29 16:00:00
7808,S,False,2025-07-30 20:00:00
7823,L,True,2025-07-31 11:00:00
7835,S,True,2025-07-31 23:00:00
7948,S,True,2025-08-05 16:00:00
7970,L,True,2025-08-06 14:00:00
7996,L,True,2025-08-07 16:00:00
8026,L,False,2025-08-08 22:00:00
8167,S,False,2025-08-14 19:00:00
8169,S,True,2025-08-14 21:00:00
8195,S,True,2025-08-15 23:00:00
8309,L,False,2025-08-20 17:00:00
8357,L,True,2025-08-22 17:00:00
8503,L,True,2025-08-28 19:00:00
8646,L,True,2025-09-03 18:00:00
8666,S,True,2025-09-04 14:00:00
8692,L,False,2025-09-05 16:00:00
8813,L,True,2025-09-10 17:00:00
8834,L,True,2025-09-11 14:00:00
8851,L,False,2025-09-12 07:00:00
8852,L,True,2025-09-12 08:00:00
8962,S,True,2025-09-16 22:00:00
8975,L,True,2025-09-17 11:00:00
9024,S,False,2025-09-19 12:00:00
9155,L,False,2025-09-24 23:00:00
9162,S,False,2025-09-25 06:00:00
9165,S,True,2025-09-25 09:00:00
9317,L,False,2025-10-01 17:00:00
9323,L,True,2025-10-01 23:00:00
9345,L,True,2025-10-02 21:00:00
9359,L,True,2025-10-03 11:00:00
9459,S,False,2025-10-07 15:00:00
9480,S,True,2025-10-08 12:00:00
9503,S,False,2025-10-09 11:00:00
9509,S,True,2025-10-09 17:00:00
9539,S,True,2025-10-10 23:00:00
9626,S,False,2025-10-14 14:00:00
9675,L,True,2025-10-16 15:00:00
9699,S,False,2025-10-17 15:00:00
9700,S,True,2025-10-17 16:00:00
9763,L,True,2025-10-20 07:00:00
9792,S,True,2025-10-21 12:00:00
9822,S,False,2025-10-22 18:00:00
9823,S,True,2025-10-22 19:00:00
9843,L,True,2025-10-23 15:00:00
9959,S,True,2025-10-28 11:00:00
9970,L,False,2025-10-28 22:00:00
9996,S,False,2025-10-30 00:00:00
10017,S,False,2025-10-30 21:00:00
10018,S,True,2025-10-30 22:00:00
10040,L,True,2025-10-31 20:00:00
10161,L,True,2025-11-05 21:00:00
10179,S,True,2025-11-06 15:00:00
10206,S,False,2025-11-07 18:00:00
10207,S,True,2025-11-07 19:00:00
10306,S,True,2025-11-11 22:00:00
10326,L,False,2025-11-12 18:00:00
10356,S,False,2025-11-14 00:00:00
10442,L,True,2025-11-17 14:00:00
10471,L,True,2025-11-18 19:00:00
10490,S,True,2025-11-19 14:00:00
10524,S,True,2025-11-21 00:00:00
10637,S,True,2025-11-25 17:00:00
10662,S,True,2025-11-26 18:00:00
10677,L,True,2025-11-27 09:00:00
10689,S,False,2025-11-27 21:00:00
10803,L,True,2025-12-02 15:00:00
10823,L,True,2025-12-03 11:00:00
10858,S,True,2025-12-04 22:00:00
10882,S,True,2025-12-05 22:00:00
10949,L,False,2025-12-08 17:00:00
10950,L,True,2025-12-08 18:00:00
11027,S,False,2025-12-11 23:00:00
11052,S,False,2025-12-13 00:00:00
11190,L,True,2025-12-18 18:00:00
11214,L,True,2025-12-19 18:00:00
11307,S,True,2025-12-23 15:00:00
11334,S,True,2025-12-24 18:00:00
11347,L,True,2025-12-25 07:00:00
11357,S,False,2025-12-25 17:00:00
11358,S,True,2025-12-25 18:00:00
11386,L,True,2025-12-26 22:00:00
11472,L,False,2025-12-30 12:00:00
11483,L,True,2025-12-30 23:00:00
11527,L,False,2026-01-01 19:00:00
11528,L,True,2026-01-01 20:00:00
11651,L,False,2026-01-06 23:00:00
11670,S,False,2026-01-07 18:00:00
11675,S,True,2026-01-07 23:00:00
11691,S,False,2026-01-08 15:00:00
11699,S,True,2026-01-08 23:00:00
11717,S,True,2026-01-09 17:00:00
11810,L,False,2026-01-13 14:00:00
11811,L,True,2026-01-13 15:00:00
11892,S,False,2026-01-17 00:00:00
11971,S,False,2026-01-20 07:00:00
11973,S,True,2026-01-20 09:00:00
12009,S,False,2026-01-21 21:00:00
12010,S,True,2026-01-21 22:00:00
12053,S,False,2026-01-23 17:00:00
12054,S,True,2026-01-23 18:00:00
12131,L,True,2026-01-26 23:00:00
12176,L,False,2026-01-28 20:00:00
12203,S,True,2026-01-29 23:00:00
12318,S,True,2026-02-03 18:00:00
12346,S,False,2026-02-04 22:00:00
12347,S,True,2026-02-04 23:00:00
12395,L,False,2026-02-06 23:00:00
12396,L,True,2026-02-07 00:00:00
12507,S,True,2026-02-11 15:00:00
12530,L,False,2026-02-12 14:00:00
12531,L,True,2026-02-12 15:00:00
12540,S,False,2026-02-13 00:00:00
12557,L,True,2026-02-13 17:00:00
12629,L,True,2026-02-16 17:00:00
12675,L,False,2026-02-18 15:00:00
12676,L,True,2026-02-18 16:00:00
12682,S,False,2026-02-18 22:00:00
12706,S,True,2026-02-19 22:00:00
12826,S,True,2026-02-24 22:00:00
12835,L,True,2026-02-25 07:00:00
