name,side,origin_bar,outcome,matched_baseline,baseline_net
wait6,S,9699,expired,True,112.89144457772612
wait6,L,9763,second_entry,True,36.43169057145151
wait6,S,9792,expired,True,69.64
wait6,S,9822,second_entry,True,93.17578202527356
wait6,L,9843,expired,True,-43.43649404600532
wait6,S,9959,expired,True,-29.194422356638327
wait6,L,9970,cross_blocked,True,-46.30077322158823
wait6,S,9996,cross_blocked,True,31.38
wait6,S,10017,expired,True,43.96717865205059
wait6,L,10040,second_entry,True,-50.91885369833189
wait6,L,10161,expired,True,135.42378202999805
wait6,S,10179,second_entry,True,94.95194227347687
wait6,S,10206,expired,True,45.97
wait6,S,10306,expired,True,63.50143455484156
wait6,L,10326,expired,True,17.68
wait6,S,10356,expired,True,150.92
wait6,L,10442,expired,True,-8.081466595094817
wait6,L,10471,second_entry,True,86.84972659898285
wait6,S,10490,expired,True,85.8514001074663
wait6,S,10524,expired,True,122.34
wait6,S,10637,second_entry,True,-77.41757411070347
wait6,S,10662,second_entry,True,-167.78402024567558
wait6,L,10677,cross_blocked,True,-1.36
wait6,L,10803,second_entry,True,271.35118790097727
wait6,L,10823,expired,True,31.53532623239785
wait6,L,10832,expired,False,
wait6,S,10858,cross_blocked,True,61.67965362546105
wait6,S,10882,expired,True,81.73582861091246
wait6,L,10949,second_entry,True,-6.1
wait6,S,11027,expired,True,-41.20485966989328
wait6,S,11052,expired,True,-21.185701402214985
wait6,L,11190,expired,True,152.77
wait6,L,11214,expired,True,8.530966530756556
wait6,S,11307,expired,True,53.48206728184744
wait6,S,11315,cross_blocked,False,
wait6,S,11334,second_entry,True,-40.47434393813037
wait6,L,11347,second_entry,True,-24.22000599256355
wait6,S,11357,expired,True,-42.76915523102394
wait6,L,11386,expired,True,-86.13519406250734
wait6,L,11472,second_entry,True,31.223258065334655
wait6,L,11483,expired,True,-54.72910389957265
wait6,L,11504,expired,True,-38.69031923025649
wait6,L,11527,second_entry,True,-6.967563437213013
wait6,L,11651,second_entry,True,-6.489692340089176
wait6,S,11670,second_entry,False,
