name,side,origin_bar,original_exit_bar,original_reason,original_net,retry_entry_bar,retry_net,retry_reason
re48,S,15845,15849,TP,75.48,15867,-101.14110106086775,MH
re48,L,17012,17018,MH,-41.91,17028,-15.83,MH
outside12,S,417,422,TP,60.30062107569949,430,-55.63979064813762,MH
outside12,S,562,564,TP,83.43868175993198,572,-11.401818621276616,MH
outside12,S,748,759,BE,30.184195827172665,767,16.540162038812905,BE
outside12,S,890,900,TP,30.899750260145684,908,-23.830059864116663,MH
outside12,S,1053,1063,MHx,4.56132973810542,1072,35.375288407283136,MHx
outside12,S,1277,1283,TP,119.11,1291,14.549508545075724,TP
outside12,L,1396,1402,MH,-5.85,1411,73.85148585899012,MFE
outside12,L,1428,1435,TP,150.87,1442,-72.55127159988031,MH
outside12,S,1584,1586,TP,79.16,1594,55.730889716565976,TP
outside12,S,1618,1620,TP,109.26871198326111,1628,-17.489095497659285,BE
outside12,S,1732,1743,BE,-32.708625455419465,1751,-7.224080769828523,MH
outside12,L,1784,1785,TP,171.29,1792,-35.99074656819871,MH
outside12,L,1876,1879,TP,117.02,1888,-33.07,MFE
outside12,S,1900,1903,TP,86.53,1912,-163.94113131044753,SN
outside12,S,2070,2074,TP,67.74,2082,-117.09604756944472,MH
outside12,L,2083,2087,MFE,12.434559852911391,2093,12.32,MFE
outside12,S,2241,2244,TP,114.86800046183971,2252,-82.27737956123912,MH
outside12,L,2259,2268,TP,117.09032214101276,2274,79.73966202710577,MFE
outside12,L,2579,2581,MFE,24.178519545118508,2587,-8.16820797163015,MH
outside12,L,2599,2604,MH,-51.29956731902684,2612,-67.16,MH
outside12,S,2621,2633,MHx,39.61048804353377,2642,65.72132285534656,TP
outside12,S,2910,2915,TP,96.76,2923,99.62454900734436,TP
outside12,L,3070,3078,MHx,128.91884421936194,3084,28.48840879122666,MHx
outside12,S,3268,3279,BE,42.61885241412881,3287,-16.52881459230664,BE
outside12,L,3456,3464,MHx,21.671323681459864,3472,-4.972660425740122,MH
outside12,L,3568,3571,TP,148.92,3583,8.74,MFE
outside12,L,3608,3611,MFE,-22.32,3618,59.94235844715258,MHx
outside12,S,3635,3636,TP,57.80491671542466,3644,-81.65265304959956,MH
outside12,L,3725,3731,MFE,5.37,3737,11.702683165282728,MFE
outside12,S,3754,3763,TP,68.75002274953377,3771,-0.2951364644813996,TP
outside12,L,3814,3817,MFE,20.1,3823,73.56301011465327,MFE
outside12,L,3939,3945,MFE,3.9080765193054,3952,39.40829045451571,MHx
outside12,L,3967,3974,MH,-19.10307913903424,3984,50.5139050711773,MFE
outside12,S,4113,4115,TP,-8.57,4123,-9.189930378399724,MH
outside12,S,4144,4145,TP,59.02,4154,38.68,TP
outside12,S,4240,4246,TP,95.66441467629858,4254,14.27,TP
outside12,L,4275,4278,MFE,84.18188921242474,4288,32.08191345522442,MFE
outside12,L,4422,4426,MFE,-32.56,4432,-67.53591793956917,MH
outside12,L,4615,4617,MFE,57.29,4624,0.1890125036011661,MFE
outside12,S,4634,4639,TP,64.31182297414328,4648,-1.0996577359473003,BE
outside12,S,4786,4792,TP,51.58127157282073,4800,52.32634699411909,TP
outside12,S,4824,4825,TP,121.48,4833,-40.79408634691872,MH
outside12,L,4923,4927,MFE,29.685131122745357,4936,-40.62666106268856,MH
outside12,S,4946,4956,MH,-100.87719166278544,4964,-40.28146616050456,MH
outside12,L,5081,5087,MFE,43.72732161658876,5096,-145.26,SN
outside12,S,5099,5101,TP,111.84281945685274,5109,84.65,TP
outside12,S,5141,5146,TP,55.7,5154,-77.6352423646323,MH
outside12,S,5267,5273,TP,58.20340446785258,5282,-58.78994508942078,MH
outside12,S,5471,5477,TP,96.59545444646874,5488,-13.772234158244476,MH
outside12,S,5625,5626,TP,72.97,5634,-51.09264195385642,MH
outside12,L,5790,5796,MH,-61.414452234375,5808,53.05428249277559,MFE
outside12,L,5835,5836,TP,186.84080090782555,5842,-150.8,SN
outside12,S,5974,5980,TP,69.67268863439679,5988,47.71,TP
outside12,L,6148,6150,MFE,41.48,6156,-46.62,MH
