bar,side,root_entry_bar,decision_ts,stop_level,hourly_touch_class,exact_trigger_ts
3662,L,3658,2025-02-08 02:00:00,2677.22845,both_touch,
10670,S,10662,2025-11-27 02:00:00,3022.0736,both_touch,
