name,slip,status,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours,expectancy,avg_win,avg_loss,mh_pct,tail5_mean,exposure_hours,exposure_pct,position_hours,max_simultaneous,loss_total
base,0,BASELINE,269,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1631,29.467290162113127,70.06258076209826,-40.24179470654819,27.881040892193308,-100.55641096308288,1622,9.258519321879103,1631,2,3983.937675948271
base,2,BASELINE,269,7582.922535028697,7582.922535028697,-7.277464971303248,2.847548867168684,62.45353159851301,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-168.83400504668492,1633,28.1893031041959,69.56689010967396,-40.63678221184684,28.62453531598513,-102.07710962881504,1624,9.269935498601518,1633,2,4104.315003396531
base,5,BASELINE,267,7014.882180315111,7014.882180315108,-6.867819684892545,2.655476236953708,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-170.39398223679396,1632,26.272966967472314,68.61135580175443,-41.13961331235553,29.213483146067414,-104.35565762793806,1624,9.269935498601518,1632,2,4237.380171172619
M,0,REJECTED,218,5720.888601118169,5720.888601118169,-6.961398881831152,2.773486705787459,62.84403669724771,311.8211870339919,-240.7051617745953,55,-2380.500510593192,3,-167.78402024567558,1351,26.242608262009952,65.30419422802468,-39.82451861878042,25.229357798165136,-114.83515890702101,1347,7.688795022546949,1351,2,3225.786008121214
M,2,REJECTED,218,5458.919556127511,5458.919556127512,-6.850443872488848,2.6458920761339915,61.92660550458715,316.91398183035744,-246.2985161687939,57,-2478.5471226792206,3,-168.83400504668492,1353,25.04091539508033,65.00454118130885,-39.96016269095403,26.146788990825687,-116.29148799574173,1349,7.700211199269365,1353,2,3316.693503349184
M,5,REJECTED,218,4973.435661353389,4973.435661353389,-6.904338646610915,2.4312881788332477,60.550458715596335,324.54378392595436,-254.6641657042816,59,-2631.9215433734985,3,-170.39398223679396,1362,22.813925052079767,64.00176148194127,-40.40461458445186,27.06422018348624,-118.47143616153303,1358,7.751583994520235,1362,2,3474.7968542628605
