bar,decision_ts,daily_debit,L_month_debit,S_month_debit
43,2024-09-10 07:00:00,0.0,0.0,0.0
44,2024-09-10 08:00:00,0.0,0.0,0.0
45,2024-09-10 09:00:00,0.0,0.0,0.0
46,2024-09-10 10:00:00,0.0,0.0,0.0
47,2024-09-10 11:00:00,0.0,0.0,0.0
48,2024-09-10 12:00:00,0.0,0.0,0.0
49,2024-09-10 13:00:00,0.0,0.0,0.0
50,2024-09-10 14:00:00,0.0,0.0,0.0
51,2024-09-10 15:00:00,0.0,0.0,0.0
52,2024-09-10 16:00:00,0.0,0.0,0.0
53,2024-09-10 17:00:00,0.0,0.0,0.0
54,2024-09-10 18:00:00,0.0,0.0,0.0
55,2024-09-10 19:00:00,0.0,0.0,0.0
56,2024-09-10 20:00:00,0.0,0.0,0.0
57,2024-09-10 21:00:00,0.0,0.0,0.0
58,2024-09-10 22:00:00,0.0,0.0,0.0
59,2024-09-10 23:00:00,0.0,0.0,0.0
60,2024-09-11 00:00:00,0.0,0.0,0.0
61,2024-09-11 01:00:00,0.0,0.0,0.0
62,2024-09-11 02:00:00,0.0,0.0,0.0
63,2024-09-11 03:00:00,0.0,0.0,0.0
64,2024-09-11 04:00:00,0.0,0.0,0.0
65,2024-09-11 05:00:00,0.0,0.0,0.0
66,2024-09-11 06:00:00,0.0,0.0,0.0
67,2024-09-11 07:00:00,0.0,0.0,0.0
68,2024-09-11 08:00:00,0.0,0.0,0.0
