side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.3379528599818096,4.0,2989.641952,10689,10708,2025-11-27 21:00:00,2025-11-28 16:00:00,2989.64,3000.74,-0.371,-18.85,MH,19,0.195,-1.801,15.2,DOWN,0.13983366892932014,0.03393888342692563,0.13983366892932014,-18.71016633107068
L,200.0,1.4223322948117192,4.0,2812.2823439999997,10803,10812,2025-12-02 15:00:00,2025-12-03 00:00:00,2812.28,3004.95,6.851,270.04,TP,9,7.601,-1.127,23.2,MILD_UP,-0.39873235255219974,-0.39873235255219974,-0.2214526298871983,269.6412676474478
L,200.0,1.3201033055290403,4.0,3030.065892,10823,10828,2025-12-03 11:00:00,2025-12-03 16:00:00,3030.07,3055.8,0.849,29.97,MFE,5,1.791,-0.343,12.1,MILD_UP,-0.04466483463521988,-0.04466483463521988,0.0,29.92533516536478
S,200.0,1.262324977371673,4.0,3168.756122,10858,10864,2025-12-04 22:00:00,2025-12-05 04:00:00,3168.76,3118.28,1.593,59.71,TP,6,3.28,-1.859,0.0,MILD_UP,0.38973157177540596,0.38973157177540596,0.38973157177540596,60.09973157177541
S,200.0,1.2914388787491062,4.0,3097.320412,10882,10885,2025-12-05 22:00:00,2025-12-06 01:00:00,3097.32,3032.3,2.099,79.97,TP,3,3.242,-1.927,34.3,MILD_UP,0.19586778446935516,0.19586778446935516,0.19586778446935516,80.16586778446936
L,200.0,1.2727145939444877,4.0,3142.888452,10949,10952,2025-12-08 17:00:00,2025-12-08 20:00:00,3142.89,3139.98,-0.092,-7.7,MFE,3,1.18,-0.317,8.1,MILD_UP,0.0,0.0,0.0,-7.7
S,200.0,1.2668136383311823,4.0,3157.528368,11027,11037,2025-12-11 23:00:00,2025-12-12 09:00:00,3157.53,3188.25,-0.973,-42.92,MH,10,0.135,-3.639,0.0,MILD_UP,0.09515936197911722,0.09515936197911722,0.09515936197911722,-42.82484063802089
S,200.0,1.3031922345381128,4.0,3069.386,11052,11058,2025-12-13 00:00:00,2025-12-13 06:00:00,3069.39,3080.62,-0.366,-18.63,MH,6,0.922,-0.941,11.1,MILD_UP,0.0,-0.009448359479336126,0.0,-18.63
L,200.0,1.4026719791689635,4.0,2851.700226,11190,11194,2025-12-18 18:00:00,2025-12-18 22:00:00,2851.7,2962.28,3.878,151.1,TP,4,4.487,-0.13,1.0,DOWN,0.0,0.0,0.0,151.1
L,200.0,1.3538482912601795,4.0,2954.5407899999996,11214,11220,2025-12-19 18:00:00,2025-12-20 00:00:00,2954.54,2962.89,0.282,7.3,MFE,6,2.148,-0.442,20.2,DOWN,-0.3689596773079821,-0.3689596773079821,0.0,6.931040322692017
S,200.0,1.3523161082826338,4.0,2957.888304,11307,11317,2025-12-23 15:00:00,2025-12-24 01:00:00,2957.89,2955.68,0.075,-1.02,BE,10,1.981,-0.56,28.3,DOWN,0.3766455878171768,0.3766455878171768,0.3766455878171768,-0.6433544121828232
S,200.0,1.3710714356811684,4.0,2917.426398,11334,11352,2025-12-24 18:00:00,2025-12-25 12:00:00,2917.43,2946.49,-0.996,-43.85,MH,18,1.051,-1.551,29.3,DOWN,0.48935883163151644,0.48935883163151644,0.48935883163151644,-43.36064116836849
L,200.0,1.3518118442293152,4.0,2958.99168,11347,11359,2025-12-25 07:00:00,2025-12-25 19:00:00,2958.99,2918.75,-1.36,-58.4,MH,12,0.004,-1.651,12.1,DOWN,-0.5258329233288009,-0.5258329233288009,-0.5258329233288009,-58.9258329233288
L,200.0,1.3406593206083808,4.0,2983.6066020000003,11386,11389,2025-12-26 22:00:00,2025-12-27 01:00:00,2983.61,2907.78,-2.541,-105.66,MH,3,0.011,-3.037,1.0,SIDE,-0.13516702910151288,-0.13516702910151288,-0.13516702910151288,-105.7951670291015
L,200.0,1.3553853995689036,4.0,2951.1901199999998,11472,11477,2025-12-30 12:00:00,2025-12-30 17:00:00,2951.19,2976.1,0.844,29.77,MFE,5,1.756,-0.519,13.1,SIDE,-0.1567105925468306,-0.1567105925468306,-0.1567105925468306,29.61328940745317
L,200.0,1.3352030448611134,4.0,2995.79904,11483,11488,2025-12-30 23:00:00,2025-12-31 04:00:00,2995.8,2969.73,-0.87,-38.81,MH,5,0.188,-1.82,20.2,SIDE,-0.3990240947536989,-0.3990240947536989,-0.3990240947536989,-39.2090240947537
L,200.0,1.3328534634351858,4.0,3001.080096,11504,11507,2025-12-31 20:00:00,2025-12-31 23:00:00,3001.08,2991.9,-0.306,-16.23,MH,3,0.888,-0.705,13.1,SIDE,0.0,0.0,0.0,-16.23
L,200.0,1.3404031934682517,4.0,2984.176716,11527,11539,2026-01-01 19:00:00,2026-01-02 07:00:00,2984.18,2997.04,0.431,13.24,MHx,12,0.698,-0.274,0.0,SIDE,0.0224320763717131,0.0224320763717131,0.0224320763717131,13.262432076371713
L,200.0,1.220507454204423,4.0,3277.325334,11651,11655,2026-01-06 23:00:00,2026-01-07 03:00:00,3277.33,3216.92,-1.843,-77.73,MH,4,0.718,-2.948,8.1,MILD_UP,-0.1696584084074944,-0.1696584084074944,-0.1696584084074944,-77.8996584084075
S,200.0,1.2509224208111878,4.0,3197.6403440000004,11670,11679,2026-01-07 18:00:00,2026-01-08 03:00:00,3197.64,3145.88,1.619,60.75,TP,9,2.114,-0.949,21.2,MILD_UP,0.15441455213263344,0.15441455213263344,0.15441455213263344,60.904414552132636
