side,filter,entry,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl
long,ema_trend,momentum,atr_2.5,ema9_trail,-504.91,242,62.0,0.8,-719.93,-2.09
long,ema_macd,momentum,atr_1.5,fixed_2atr,-285.26,154,35.7,0.79,-451.35,-1.85
long,macd_trend,donchian_ema,atr_2.0,ema9_trail,-1883.84,847,60.4,0.79,-2095.21,-2.22
long,price_ema,momentum,atr_1.5,fixed_2atr,-509.99,274,35.8,0.79,-657.98,-1.86
long,price_ema,momentum,atr_1.5,ema9_trail,-510.35,277,53.1,0.79,-637.53,-1.84
long,macd_trend,donchian_ema,atr_2.5,ema9_trail,-2007.07,800,65.2,0.78,-2154.28,-2.51
long,ema_macd,momentum,atr_2.5,ema9_trail,-393.57,155,56.8,0.78,-549.52,-2.54
long,price_ema,momentum,atr_2.0,ema9_trail,-703.96,273,57.1,0.75,-887.66,-2.58
long,ema_trend,momentum,atr_2.0,fixed_2atr,-608.8,243,41.2,0.74,-666.76,-2.51
long,price_ema,momentum,atr_2.0,fixed_2atr,-738.9,270,40.4,0.74,-821.67,-2.74
long,ema_trend,momentum,atr_2.5,fixed_2atr,-706.24,240,44.2,0.72,-786.99,-2.94
long,price_ema,momentum,atr_2.5,ema9_trail,-881.4,271,60.9,0.72,-1113.37,-3.25
long,price_ema,momentum,atr_2.5,fixed_2atr,-953.38,268,43.3,0.7,-1038.96,-3.56
long,ema_macd,momentum,atr_2.0,fixed_2atr,-528.15,154,39.0,0.68,-649.62,-3.43
long,ema_macd,momentum,atr_2.5,fixed_2atr,-599.33,154,41.6,0.67,-774.74,-3.89
