side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars,rsi_entry,atr_pctile_entry
long,77857.12493399999,2026-02-01 14:30:00+00:00,77608.71850542857,2026-02-01 14:35:00+00:00,stop_loss,-7.981084037767962,False,1,19.92430255429521,85.11649488884458
long,77508.81010599999,2026-02-01 14:35:00+00:00,77508.81010599999,2026-02-01 14:40:00+00:00,adaptive_trail,-0.3918895891819564,True,1,18.64437867027108,100.0
long,77415.77080299999,2026-02-01 14:40:00+00:00,77790.5,2026-02-01 15:10:00+00:00,breakeven_sl,8.370671186064692,True,6,42.53253531693184,99.41819898933676
long,76991.6984,2026-02-01 15:30:00+00:00,77052.22,2026-02-01 15:35:00+00:00,adaptive_trail,1.5429665333820277,True,1,29.81743667298869,100.0
long,77061.7054,2026-02-01 20:05:00+00:00,77150.4755200139,2026-02-01 20:25:00+00:00,breakeven_sl,1.7139389459989633,True,4,39.95814807125835,28.167381934382096
long,76696.418875,2026-02-01 20:30:00+00:00,77133.41781509765,2026-02-01 20:35:00+00:00,adaptive_trail,9.984859385672097,True,1,41.703258256712154,47.05462973284354
long,75897.68901,2026-02-02 03:15:00+00:00,75465.27115285715,2026-02-02 03:20:00+00:00,stop_loss,-12.99475688346388,False,1,21.48719026139065,32.51285574573763
long,75620.95133899999,2026-02-02 03:20:00+00:00,75160.25098185714,2026-02-02 03:25:00+00:00,stop_loss,-13.784463405586736,False,1,19.349435045805166,38.674324613275566
long,75370.986345,2026-02-02 03:25:00+00:00,74872.61991642856,2026-02-02 03:30:00+00:00,stop_loss,-14.824357348601792,False,1,17.405471279063732,37.979921551031495
long,75110.430292,2026-02-02 03:30:00+00:00,74616.30886342858,2026-02-02 03:35:00+00:00,stop_loss,-14.757198717953608,False,1,15.874265433646258,42.08219264514568
long,74878.147066,2026-02-02 03:35:00+00:00,75079.46253557896,2026-02-02 03:45:00+00:00,adaptive_trail,4.883956956497229,True,2,14.722335168185026,45.41679957655707
