period,long_entry,long_exit,short_entry,short_exit,total_pnl,long_pnl,short_pnl,trades,long_trades,short_trades,win_rate,profit_factor,max_drawdown
train,m5_first_reversal,atr_trail,m5_next_open,fixed_2atr,-34.34,-245.15,210.81,295,121,174,50.8,0.98,-513.79
test,m5_first_reversal,atr_trail,m5_next_open,fixed_2atr,-773.91,-970.17,196.26,230,127,103,53.0,0.71,-967.74
full,m5_first_reversal,atr_trail,m5_next_open,fixed_2atr,-808.25,-1215.31,407.06,525,248,277,51.8,0.83,-997.25
