long_entry,long_exit,short_entry,short_exit,total_pnl,long_pnl,short_pnl,trades,long_trades,short_trades,win_rate,profit_factor,max_drawdown
m5_first_reversal,atr_trail,m5_next_open,fixed_2atr,17228.55,11876.21,5352.34,601,323,278,90.8,26.64,-263.04
m5_first_reversal,atr_trail,m5_first_reversal,fixed_2atr,17204.26,11876.21,5328.06,601,323,278,89.9,25.2,-263.04
m5_first_reversal,atr_trail,h1_close,fixed_2atr,17179.57,11876.21,5303.37,601,323,278,89.9,25.4,-263.04
m5_first_reversal,atr_trail,m5_first_reversal,atr_trail,17160.54,11876.21,5284.33,601,323,278,89.7,25.1,-263.04
m5_first_reversal,atr_trail,m5_next_open,atr_trail,17156.03,11876.21,5279.83,601,323,278,90.7,26.48,-263.04
m5_first_reversal,atr_trail,m5_first_reversal,ema9_1h,17142.65,11876.21,5266.44,601,323,278,90.2,25.14,-263.04
m5_first_reversal,atr_trail,m5_next_open,ema9_1h,17123.71,11876.21,5247.5,601,323,278,91.3,26.52,-263.04
m5_first_reversal,atr_trail,h1_close,atr_trail,17119.05,11876.21,5242.84,601,323,278,89.9,25.32,-263.04
m5_first_reversal,atr_trail,h1_close,ema9_1h,17098.29,11876.21,5222.08,601,323,278,90.3,25.33,-263.04
m5_first_reversal,atr_trail,m5_engulf,fixed_2atr,16994.37,11876.21,5118.17,592,323,269,89.9,25.25,-263.04
m5_first_reversal,atr_trail,m5_engulf,atr_trail,16990.51,11876.21,5114.3,592,323,269,89.7,25.19,-263.04
m5_first_reversal,atr_trail,m5_engulf,ema9_1h,16973.96,11876.21,5097.76,592,323,269,90.0,25.22,-263.04
m5_first_reversal,atr_trail,m5_ema9_cross,fixed_2atr,16133.08,11876.21,4256.87,560,323,237,89.1,24.18,-263.04
m5_first_reversal,atr_trail,m5_ema9_cross,atr_trail,16124.1,11876.21,4247.89,560,323,237,88.9,24.1,-263.04
m5_first_reversal,atr_trail,m5_ema9_cross,ema9_1h,16074.97,11876.21,4198.76,560,323,237,89.5,24.12,-263.04
m5_first_reversal,atr_trail,m5_rsi_recover,atr_trail,15197.59,11876.21,3321.39,503,323,180,89.9,23.94,-263.04
m5_first_reversal,atr_trail,m5_rsi_recover,fixed_2atr,15178.19,11876.21,3301.98,503,323,180,90.1,23.95,-263.04
m5_first_reversal,atr_trail,m5_rsi_recover,ema9_1h,15160.33,11876.21,3284.13,503,323,180,90.5,23.95,-263.04
