side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done
long,110868.01,2025-09-02 17:40:00+00:00,110868.01,2025-09-03 04:15:00+00:00,stop_loss,-0.24628605286078598,True
long,111215.87,2025-09-03 09:15:00+00:00,111215.87,2025-09-03 12:45:00+00:00,stop_loss,-0.8106239616958931,True
long,111449.74,2025-09-03 13:30:00+00:00,112016.38,2025-09-03 16:40:00+00:00,atr_trail_1.5,8.412390210280305,True
long,111496.0,2025-09-03 14:15:00+00:00,111743.03,2025-09-03 16:50:00+00:00,atr_trail_1.5,3.3559740772250555,True
long,112137.3,2025-09-03 19:50:00+00:00,111239.69142857143,2025-09-04 03:45:00+00:00,stop_loss,-17.60909904962172,False
long,112061.9,2025-09-03 22:00:00+00:00,111187.80178571428,2025-09-04 03:50:00+00:00,stop_loss,-17.20027474611282,False
long,111682.51,2025-09-04 03:15:00+00:00,110832.83285714286,2025-09-04 05:00:00+00:00,stop_loss,-16.815939234480627,False
long,111231.32,2025-09-08 00:25:00+00:00,110794.05607142858,2025-09-08 00:50:00+00:00,stop_loss,-9.462244708979897,False
long,111219.99,2025-09-08 00:35:00+00:00,110782.72607142858,2025-09-08 00:50:00+00:00,stop_loss,-9.463045637235265,False
long,111027.16,2025-09-08 05:55:00+00:00,112417.56,2025-09-08 16:15:00+00:00,atr_trail_1.5,21.55287538652695,True
long,111129.38,2025-09-08 06:20:00+00:00,112417.56,2025-09-08 16:15:00+00:00,atr_trail_1.5,19.88375549806375,True
long,112210.0,2025-09-08 13:40:00+00:00,112417.56,2025-09-08 16:15:00+00:00,atr_trail_1.5,2.4461749016512058,True
long,112642.42,2025-09-08 16:25:00+00:00,112029.3025,2025-09-08 19:55:00+00:00,stop_loss,-12.486085366418672,False
long,112142.23,2025-09-08 21:10:00+00:00,111486.90464285713,2025-09-09 00:45:00+00:00,stop_loss,-13.287396570281597,False
long,112966.54,2025-09-09 09:55:00+00:00,112310.22571428571,2025-09-09 14:00:00+00:00,stop_loss,-13.219622690298936,False
long,112327.37,2025-09-10 10:10:00+00:00,113736.05,2025-09-10 16:15:00+00:00,atr_trail_1.5,21.716741820931965,True
long,113974.34,2025-09-10 23:45:00+00:00,113974.34,2025-09-11 07:05:00+00:00,stop_loss,-0.7522377505573417,True
long,113482.02,2025-09-10 19:40:00+00:00,114380.61,2025-09-11 12:30:00+00:00,atr_trail_1.5,13.641592582558088,True
long,114063.54,2025-09-11 11:10:00+00:00,114063.54,2025-09-11 12:30:00+00:00,stop_loss,-1.036965446752621,True
long,115059.99,2025-09-12 11:20:00+00:00,115059.99,2025-09-12 14:35:00+00:00,stop_loss,-0.8563829405115394,True
long,115215.11,2025-09-12 08:20:00+00:00,116126.22,2025-09-12 20:20:00+00:00,atr_trail_1.5,13.383412951899915,True
long,115126.66,2025-09-12 12:25:00+00:00,116126.22,2025-09-12 20:20:00+00:00,atr_trail_1.5,14.721720293606518,True
long,115792.01,2025-09-13 08:10:00+00:00,115792.01,2025-09-13 13:50:00+00:00,stop_loss,-1.0106600520808293,True
long,115871.58,2025-09-13 22:55:00+00:00,115468.31464285715,2025-09-14 04:15:00+00:00,stop_loss,-8.560556801639413,False
long,115951.33,2025-09-14 01:40:00+00:00,115546.56464285715,2025-09-14 04:15:00+00:00,stop_loss,-8.581642334639072,False
long,115763.93,2025-09-14 07:20:00+00:00,115763.93,2025-09-14 11:30:00+00:00,stop_loss,-1.2431802449791014,True
long,115805.39,2025-09-14 07:55:00+00:00,115805.39,2025-09-14 11:30:00+00:00,stop_loss,-1.2433079915981766,True
long,116049.18,2025-09-14 22:40:00+00:00,115580.96678571428,2025-09-14 23:10:00+00:00,stop_loss,-9.669220554349723,False
long,115420.0,2025-09-16 13:15:00+00:00,114842.24392857144,2025-09-16 13:50:00+00:00,stop_loss,-11.611368418446796,False
long,116726.0,2025-09-17 01:15:00+00:00,116726.0,2025-09-17 08:30:00+00:00,stop_loss,-0.8341992602945604,True
long,116492.61,2025-09-17 05:00:00+00:00,116715.99,2025-09-17 09:20:00+00:00,atr_trail_1.5,2.587433005407017,True
long,117234.0,2025-09-18 08:10:00+00:00,117234.0,2025-09-18 19:35:00+00:00,stop_loss,-0.5982269892449542,True
long,117268.42,2025-09-18 11:15:00+00:00,117268.42,2025-09-18 19:35:00+00:00,stop_loss,-0.7958241735377036,True
long,117170.19,2025-09-18 07:00:00+00:00,117170.19,2025-09-18 22:50:00+00:00,stop_loss,-0.45014634329285486,True
long,117075.21,2025-09-18 23:45:00+00:00,117075.21,2025-09-19 02:10:00+00:00,stop_loss,-0.9467520335249271,True
long,112961.88,2025-09-23 12:35:00+00:00,112320.06321428572,2025-09-23 17:30:00+00:00,stop_loss,-12.96342252296586,False
long,112952.31,2025-09-23 13:55:00+00:00,112293.93,2025-09-23 17:35:00+00:00,stop_loss,-13.25766330940916,False
long,113549.88,2025-09-24 22:00:00+00:00,112939.10678571429,2025-09-25 01:00:00+00:00,stop_loss,-12.357795856511922,False
long,109565.98,2025-09-27 22:50:00+00:00,109565.98,2025-09-28 00:50:00+00:00,stop_loss,-1.3108004823082093,True
long,109670.01,2025-09-28 00:40:00+00:00,109437.015,2025-09-28 01:35:00+00:00,stop_loss,-5.84901939919574,False
long,109651.99,2025-09-28 00:15:00+00:00,109418.99500000001,2025-09-28 01:40:00+00:00,stop_loss,-5.849717674982376,False
long,109639.99,2025-09-28 00:50:00+00:00,109406.99500000001,2025-09-28 01:40:00+00:00,stop_loss,-5.850182802825781,False
long,109491.0,2025-09-28 09:30:00+00:00,109230.27214285714,2025-09-28 12:40:00+00:00,stop_loss,-6.3625440838582445,False
