side,signal,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl,long_trades,short_trades,long_pnl,short_pnl
short,bb_upper,pct_1.5,fixed_2atr,15.5,257,43.6,1.01,-258.49,0.06,0,257,0.0,15.5
short,bb_squeeze_dn,pct_1.5,fixed_2atr,0.19,17,41.2,1.0,-79.49,0.01,0,17,0.0,0.19
long,ema_macd_up,pct_1.5,ema9_trail,-0.47,68,39.7,1.0,-193.31,-0.01,68,0,-0.47,0.0
long,stoch_cross_up,atr_2.0,fixed_3atr,-8.6,220,41.4,1.0,-693.1,-0.04,220,0,-8.6,0.0
short,bb_squeeze_dn,atr_2.0,ema9_trail,0.23,17,35.3,1.0,-99.1,0.01,0,17,0.0,0.23
short,stoch_cross_dn,atr_2.0,ema9_trail,8.58,220,50.9,1.0,-420.01,0.04,0,220,0.0,8.58
long,vol_spike_up,atr_2.5,atr_trail_2.5,-11.73,213,40.4,0.99,-641.13,-0.06,213,0,-11.73,0.0
short,vol_spike_dn,atr_1.5,fixed_2atr,-21.06,278,42.8,0.99,-554.76,-0.08,0,278,0.0,-21.06
short,bb_squeeze_dn,atr_2.0,fixed_3atr,-1.33,17,29.4,0.99,-99.1,-0.08,0,17,0.0,-1.33
short,bb_upper,atr_2.0,atr_trail_1.5,-15.38,265,42.3,0.99,-389.59,-0.06,0,265,0.0,-15.38
short,stoch_cross_dn,atr_2.0,atr_trail_1.5,-31.92,220,46.4,0.98,-332.31,-0.15,0,220,0.0,-31.92
short,bb_upper,atr_2.0,fixed_3atr,-42.8,265,35.8,0.98,-333.89,-0.16,0,265,0.0,-42.8
short,vol_spike_dn,atr_2.0,ema9_trail,-57.31,261,42.9,0.98,-521.96,-0.22,0,261,0.0,-57.31
short,bb_upper,atr_2.5,fixed_2atr,-42.27,263,44.1,0.98,-409.6,-0.16,0,263,0.0,-42.27
short,stoch_cross_dn,pct_1.5,fixed_3atr,-36.36,220,37.3,0.98,-438.45,-0.17,0,220,0.0,-36.36
long,stoch_cross_up,atr_2.0,fixed_2atr,-36.0,220,47.7,0.98,-667.55,-0.16,220,0,-36.0,0.0
long,vol_spike_up,atr_2.5,fixed_3atr,-52.47,218,39.9,0.98,-737.18,-0.24,218,0,-52.47,0.0
long,ema_macd_up,atr_2.5,fixed_2atr,-9.87,68,47.1,0.98,-137.84,-0.15,68,0,-9.87,0.0
long,vol_spike_up,pct_1.5,fixed_3atr,-56.16,220,38.6,0.97,-726.23,-0.26,220,0,-56.16,0.0
long,vol_spike_up,atr_2.5,atr_trail_1.5,-55.86,220,49.5,0.97,-618.79,-0.25,220,0,-55.86,0.0
long,vol_spike_up,atr_2.0,ema9_trail,-48.66,210,39.0,0.97,-730.5,-0.23,210,0,-48.66,0.0
