side,signal,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl,long_trades,short_trades,long_pnl,short_pnl
short,bb_squeeze_dn,atr_1.5,atr_trail_2.5,122.73,17,29.4,2.2,-76.53,7.22,0,17,0.0,122.73
short,bb_squeeze_dn,atr_2.5,atr_trail_2.5,147.3,17,35.3,2.18,-84.77,8.66,0,17,0.0,147.3
short,bb_squeeze_dn,pct_1.5,atr_trail_2.5,93.53,17,29.4,1.71,-97.79,5.5,0,17,0.0,93.53
short,bb_squeeze_dn,atr_2.0,atr_trail_2.5,92.81,17,29.4,1.7,-99.1,5.46,0,17,0.0,92.81
short,bb_squeeze_dn,atr_1.5,atr_trail_1.5,55.17,17,35.3,1.54,-76.53,3.25,0,17,0.0,55.17
short,bb_squeeze_dn,atr_2.5,atr_trail_1.5,47.41,17,41.2,1.38,-84.77,2.79,0,17,0.0,47.41
short,bb_squeeze_dn,atr_2.5,fixed_3atr,43.58,17,35.3,1.35,-84.77,2.56,0,17,0.0,43.58
short,bb_squeeze_dn,atr_1.5,ema9_trail,30.16,17,35.3,1.3,-76.53,1.77,0,17,0.0,30.16
short,bb_squeeze_dn,pct_1.5,atr_trail_1.5,39.26,17,41.2,1.3,-84.48,2.31,0,17,0.0,39.26
short,stoch_cross_dn,atr_2.5,ema9_trail,538.24,216,55.6,1.29,-430.35,2.49,0,216,0.0,538.24
short,vol_spike_dn,atr_2.0,atr_trail_1.5,707.4,276,48.6,1.29,-488.87,2.56,0,276,0.0,707.4
short,bb_squeeze_dn,atr_1.5,fixed_3atr,28.59,17,29.4,1.28,-76.53,1.68,0,17,0.0,28.59
short,vol_spike_dn,atr_1.5,atr_trail_1.5,523.42,277,44.8,1.23,-494.43,1.89,0,277,0.0,523.42
short,vol_spike_dn,atr_2.5,atr_trail_1.5,582.8,276,50.7,1.22,-449.99,2.11,0,276,0.0,582.8
short,bb_squeeze_dn,pct_1.5,fixed_3atr,26.83,17,35.3,1.21,-70.34,1.58,0,17,0.0,26.83
short,vol_spike_dn,atr_1.5,atr_trail_2.5,432.06,266,38.7,1.2,-562.54,1.62,0,266,0.0,432.06
short,stoch_cross_dn,atr_2.5,atr_trail_2.5,368.83,215,39.1,1.2,-510.91,1.72,0,215,0.0,368.83
short,bb_squeeze_dn,atr_2.5,ema9_trail,24.95,17,41.2,1.2,-84.77,1.47,0,17,0.0,24.95
short,bb_squeeze_dn,atr_2.0,atr_trail_1.5,25.24,17,35.3,1.19,-99.1,1.48,0,17,0.0,25.24
short,vol_spike_dn,atr_2.0,atr_trail_2.5,431.49,265,41.9,1.18,-520.83,1.63,0,265,0.0,431.49
short,stoch_cross_dn,pct_1.5,ema9_trail,267.87,220,51.8,1.14,-411.22,1.22,0,220,0.0,267.87
short,shooting_star,atr_1.5,atr_trail_2.5,456.13,458,31.4,1.12,-835.51,1.0,0,458,0.0,456.13
short,vol_spike_dn,atr_2.5,atr_trail_2.5,311.74,265,44.2,1.12,-548.47,1.18,0,265,0.0,311.74
short,bb_squeeze_dn,atr_2.5,fixed_2atr,13.38,17,41.2,1.11,-84.77,0.79,0,17,0.0,13.38
short,bb_squeeze_dn,atr_1.5,fixed_2atr,11.1,17,35.3,1.11,-76.53,0.65,0,17,0.0,11.1
