side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars,sl_was_breakeven
short,90564.31,2026-01-03 21:00:00+00:00,90323.64407142857,2026-01-03 22:00:00+00:00,stop_loss,3.7148073136410313,False,1,False
short,91341.47,2026-01-04 00:00:00+00:00,90335.00228571429,2026-01-04 01:00:00+00:00,stop_loss,20.43747573332706,False,1,False
short,91235.37,2026-01-04 01:00:00+00:00,90342.85542857143,2026-01-04 02:00:00+00:00,stop_loss,17.96510005776402,False,1,False
short,92405.46,2026-01-05 00:00:00+00:00,91905.775,2026-01-05 01:00:00+00:00,stop_loss,9.215053569345624,False,1,False
short,92967.28,2026-01-05 01:00:00+00:00,91921.69385714286,2026-01-05 02:00:00+00:00,stop_loss,20.893637392793185,False,1,False
short,93033.11,2026-01-05 02:00:00+00:00,91925.05835714286,2026-01-05 03:00:00+00:00,stop_loss,22.220586947101793,False,1,False
short,94317.84,2026-01-05 17:00:00+00:00,93555.98564285714,2026-01-05 18:00:00+00:00,stop_loss,14.555042506123124,False,1,False
short,94449.62,2026-01-05 18:00:00+00:00,93555.184,2026-01-05 19:00:00+00:00,stop_loss,17.339959737265254,False,1,False
long,91589.24,2026-01-06 17:00:00+00:00,92972.93757142857,2026-01-06 18:00:00+00:00,stop_loss,28.615286674036497,False,1,False
long,89898.01,2026-01-08 06:00:00+00:00,90512.13635714287,2026-01-08 07:00:00+00:00,stop_loss,12.062735296206707,False,1,False
short,90938.13,2026-01-11 12:00:00+00:00,90891.80628571428,2026-01-11 13:00:00+00:00,stop_loss,-0.5812037198098281,False,1,False
short,91127.16,2026-01-11 14:00:00+00:00,90895.10328571429,2026-01-11 15:00:00+00:00,stop_loss,3.4930307558299423,False,1,False
short,91258.65,2026-01-12 00:00:00+00:00,91384.22071428571,2026-01-12 01:00:00+00:00,stop_loss,-4.351973961607226,False,1,False
short,91412.44,2026-01-12 01:00:00+00:00,91398.19321428571,2026-01-12 02:00:00+00:00,stop_loss,-1.2882965663253048,False,1,False
short,92203.56,2026-01-12 02:00:00+00:00,91413.42057142858,2026-01-12 03:00:00+00:00,stop_loss,15.539022149934768,False,1,False
short,92175.78,2026-01-12 04:00:00+00:00,91429.876,2026-01-12 05:00:00+00:00,stop_loss,14.584381623892847,False,1,False
short,93449.99,2026-01-13 15:00:00+00:00,92491.90814285714,2026-01-13 16:00:00+00:00,stop_loss,18.904696836091002,False,1,False
short,93389.63,2026-01-13 16:00:00+00:00,92500.40821428571,2026-01-13 17:00:00+00:00,stop_loss,17.443266061002635,False,1,False
short,94226.84,2026-01-13 19:00:00+00:00,92509.19028571428,2026-01-13 20:00:00+00:00,stop_loss,34.85775904796789,False,1,False
short,94408.7,2026-01-13 20:00:00+00:00,92507.42628571429,2026-01-13 21:00:00+00:00,stop_loss,38.677510743940076,False,1,False
short,95757.21,2026-01-13 22:00:00+00:00,92555.00242857143,2026-01-13 23:00:00+00:00,stop_loss,65.28180600559634,False,1,False
short,96493.15,2026-01-14 14:00:00+00:00,96648.42942857143,2026-01-14 15:00:00+00:00,stop_loss,-4.818454959164118,False,1,False
short,96764.57,2026-01-14 15:00:00+00:00,96657.65357142857,2026-01-14 16:00:00+00:00,stop_loss,0.609825942934195,False,1,False
short,97293.24,2026-01-14 16:00:00+00:00,96670.31678571428,2026-01-14 17:00:00+00:00,stop_loss,11.205066709377173,False,1,False
long,93673.14,2026-01-18 23:00:00+00:00,94814.55692857143,2026-01-19 00:00:00+00:00,stop_loss,22.770207480424602,False,1,False
long,92711.02,2026-01-19 00:00:00+00:00,94781.22371428572,2026-01-19 01:00:00+00:00,stop_loss,43.05928029452627,False,1,False
long,92586.65,2026-01-19 01:00:00+00:00,94770.32321428572,2026-01-19 02:00:00+00:00,stop_loss,45.570368822842646,False,1,False
long,92566.8,2026-01-19 02:00:00+00:00,94766.22414285714,2026-01-19 03:00:00+00:00,stop_loss,45.92079887945009,False,1,False
long,92690.09,2026-01-19 03:00:00+00:00,94766.62207142857,2026-01-19 04:00:00+00:00,stop_loss,43.20591337064355,False,1,False
long,92665.0,2026-01-19 04:00:00+00:00,94770.95042857144,2026-01-19 05:00:00+00:00,stop_loss,43.85298502285514,False,1,False
short,95439.6,2026-01-18 18:00:00+00:00,93259.09,2026-01-19 08:00:00+00:00,ema9_trail,40.64893707493703,True,14,False
short,95498.61,2026-01-18 22:00:00+00:00,93259.09,2026-01-19 08:00:00+00:00,ema9_trail,41.73789629338965,True,10,False
long,92841.62,2026-01-19 07:00:00+00:00,92841.62,2026-01-19 13:00:00+00:00,stop_loss,0.17806610686642288,True,6,True
long,92511.77,2026-01-19 05:00:00+00:00,93031.85,2026-01-19 14:00:00+00:00,atr_trail,10.256138214011694,True,9,False
long,92583.27,2026-01-19 06:00:00+00:00,93031.85,2026-01-19 14:00:00+00:00,atr_trail,8.877637637987975,True,8,False
long,92062.61,2026-01-20 04:00:00+00:00,92590.87242857143,2026-01-20 05:00:00+00:00,stop_loss,9.876155815513517,False,1,False
long,91624.18,2026-01-20 05:00:00+00:00,92579.68414285714,2026-01-20 06:00:00+00:00,stop_loss,19.257030160753246,False,1,False
long,90929.98,2026-01-20 06:00:00+00:00,92570.52278571429,2026-01-20 07:00:00+00:00,stop_loss,34.48364998462098,False,1,False
long,91177.98,2026-01-20 07:00:00+00:00,92565.87771428571,2026-01-20 08:00:00+00:00,stop_loss,28.843703935658993,False,1,False
long,91116.0,2026-01-20 08:00:00+00:00,92560.87821428571,2026-01-20 09:00:00+00:00,stop_loss,30.115137062331726,False,1,False
long,91036.25,2026-01-20 09:00:00+00:00,92559.53507142857,2026-01-20 10:00:00+00:00,stop_loss,31.865461756796314,False,1,False
long,91269.58,2026-01-20 10:00:00+00:00,92557.27735714286,2026-01-20 11:00:00+00:00,stop_loss,26.61744894942769,False,1,False
long,91218.99,2026-01-20 11:00:00+00:00,92559.71614285714,2026-01-20 12:00:00+00:00,stop_loss,27.795768202588874,False,1,False
long,90958.88,2026-01-20 13:00:00+00:00,90558.75685714286,2026-01-20 14:00:00+00:00,stop_loss,-10.397890714070977,False,1,False
long,90531.15,2026-01-20 14:00:00+00:00,90545.92478571429,2026-01-20 15:00:00+00:00,stop_loss,-1.2735977458742822,False,1,False
long,90684.95,2026-01-20 15:00:00+00:00,90532.90692857142,2026-01-20 16:00:00+00:00,stop_loss,-4.953215090896026,False,1,False
long,90165.51,2026-01-20 16:00:00+00:00,90520.2375,2026-01-20 17:00:00+00:00,stop_loss,6.268363413016976,False,1,False
long,89775.46,2026-01-20 17:00:00+00:00,90505.46721428572,2026-01-20 18:00:00+00:00,stop_loss,14.66295680992801,False,1,False
long,89501.0,2026-01-20 18:00:00+00:00,90503.48357142857,2026-01-20 19:00:00+00:00,stop_loss,20.80161722055782,False,1,False
long,89725.76,2026-01-20 19:00:00+00:00,90509.649,2026-01-20 20:00:00+00:00,stop_loss,15.872997721056032,False,1,False
long,89733.99,2026-01-20 20:00:00+00:00,90518.20607142858,2026-01-20 21:00:00+00:00,stop_loss,15.878684976084779,False,1,False
long,89476.01,2026-01-20 21:00:00+00:00,90519.387,2026-01-20 22:00:00+00:00,stop_loss,21.721938472670107,False,1,False
long,88509.18,2026-01-20 22:00:00+00:00,90494.04,2026-01-20 23:00:00+00:00,stop_loss,43.25094088545393,False,1,False
long,88427.66,2026-01-20 23:00:00+00:00,90485.01364285714,2026-01-21 00:00:00+00:00,stop_loss,44.93190286516998,False,1,False
long,88936.01,2026-01-21 00:00:00+00:00,90475.67142857143,2026-01-21 01:00:00+00:00,stop_loss,33.024027513072184,False,1,False
long,89020.91,2026-01-21 01:00:00+00:00,90473.814,2026-01-21 02:00:00+00:00,stop_loss,31.041859086814434,False,1,False
long,89048.57,2026-01-21 02:00:00+00:00,90471.87128571428,2026-01-21 03:00:00+00:00,stop_loss,30.366853273764526,False,1,False
short,90288.04,2026-01-21 15:00:00+00:00,90294.71042857143,2026-01-21 16:00:00+00:00,stop_loss,-1.7477588520348164,False,1,False
short,90600.0,2026-01-23 17:00:00+00:00,90262.454,2026-01-23 18:00:00+00:00,stop_loss,5.851346578366492,False,1,False
long,88659.99,2026-01-25 07:00:00+00:00,89108.23407142857,2026-01-25 08:00:00+00:00,stop_loss,8.511529934270513,False,1,False
long,88300.01,2026-01-25 08:00:00+00:00,89096.563,2026-01-25 09:00:00+00:00,stop_loss,16.441968511668343,False,1,False
long,88398.38,2026-01-25 09:00:00+00:00,89093.75907142858,2026-01-25 10:00:00+00:00,stop_loss,14.132846493987142,False,1,False
long,87892.17,2026-01-25 17:00:00+00:00,88032.80792857143,2026-01-25 18:00:00+00:00,stop_loss,1.60023794090954,False,1,False
long,87420.01,2026-01-25 18:00:00+00:00,88011.22742857142,2026-01-25 19:00:00+00:00,stop_loss,11.925906221503022,False,1,False
long,86495.16,2026-01-25 19:00:00+00:00,87986.83507142858,2026-01-25 20:00:00+00:00,stop_loss,32.89152695777598,False,1,False
long,86654.61,2026-01-25 20:00:00+00:00,87983.49628571428,2026-01-25 21:00:00+00:00,stop_loss,29.07087338375376,False,1,False
long,86568.5,2026-01-25 21:00:00+00:00,87974.53335714286,2026-01-25 22:00:00+00:00,stop_loss,30.883717683519144,False,1,False
long,86521.39,2026-01-25 22:00:00+00:00,87977.6735,2026-01-25 23:00:00+00:00,stop_loss,32.06297050937358,False,1,False
long,86670.36,2026-01-25 23:00:00+00:00,87967.65157142858,2026-01-26 00:00:00+00:00,stop_loss,28.336222058580976,False,1,False
long,86854.86,2026-01-26 00:00:00+00:00,87959.39492857143,2026-01-26 01:00:00+00:00,stop_loss,23.834038545947408,False,1,False
short,88550.61,2026-01-27 01:00:00+00:00,88047.46,2026-01-27 15:00:00+00:00,ema9_trail,10.794926430691412,True,14,False
short,88831.6,2026-01-27 02:00:00+00:00,88047.46,2026-01-27 15:00:00+00:00,ema9_trail,16.463250760829617,True,13,False
short,89396.16,2026-01-27 20:00:00+00:00,89187.70992857144,2026-01-27 21:00:00+00:00,stop_loss,3.063512871885498,False,1,False
short,90257.91,2026-01-28 13:00:00+00:00,89645.52892857144,2026-01-28 14:00:00+00:00,stop_loss,11.969582354135268,False,1,False
long,84934.02,2026-01-29 15:00:00+00:00,87526.78442857142,2026-01-29 16:00:00+00:00,stop_loss,59.45361381861872,False,1,False
long,85270.0,2026-01-29 16:00:00+00:00,87525.21178571429,2026-01-29 17:00:00+00:00,stop_loss,51.2957848179732,False,1,False
long,84261.66,2026-01-29 17:00:00+00:00,87500.96685714286,2026-01-29 18:00:00+00:00,stop_loss,75.28685120000863,False,1,False
long,83477.02,2026-01-29 18:00:00+00:00,87484.44285714286,2026-01-29 19:00:00+00:00,stop_loss,94.4125998063384,False,1,False
long,84012.11,2026-01-29 19:00:00+00:00,87469.73814285714,2026-01-29 20:00:00+00:00,stop_loss,80.71261285681643,False,1,False
long,84216.91,2026-01-29 20:00:00+00:00,87461.08764285714,2026-01-29 21:00:00+00:00,stop_loss,75.44337864823423,False,1,False
long,84192.0,2026-01-30 00:00:00+00:00,83129.94121428572,2026-01-30 01:00:00+00:00,stop_loss,-26.82944663897477,False,1,False
long,82468.02,2026-01-30 01:00:00+00:00,83070.86092857143,2026-01-30 02:00:00+00:00,stop_loss,13.019992781963957,False,1,False
long,82164.88,2026-01-30 02:00:00+00:00,83047.74871428571,2026-01-30 03:00:00+00:00,stop_loss,19.890172304413,False,1,False
