case,family,n,pnl,delta,wr,mdd,mh_n,mh_pnl,d_discover,d_validate,d_holdout,folds_better,worst_fold_delta
STALL_L_N5_P-0.005_M0.990_G0,stalled_underwater,277,7531.59,-520.38,62.09,377.03,81,-3715.36,-6.11,-449.55,-64.72,1,-402.62
STALL_L_N5_P-0.005_M0.990_G1,stalled_underwater,276,7918.25,-133.72,63.04,369.05,78,-3621.77,4.84,-173.07,34.51,2,-134.12
STALL_L_N5_P-0.005_M0.990_G2,stalled_underwater,278,7561.97,-490.0,63.31,308.36,76,-3601.46,-229.23,-122.07,-138.7,1,-144.57
STALL_L_N5_P-0.010_M0.005_G0,stalled_underwater,281,7956.7,-95.27,62.63,330.1,81,-3624.16,17.71,-106.57,-6.41,2,-106.57
STALL_L_N5_P-0.010_M0.005_G1,stalled_underwater,282,7954.52,-97.45,63.12,326.56,80,-3650.21,-7.78,-91.11,1.44,3,-94.65
STALL_L_N5_P-0.010_M0.005_G2,stalled_underwater,279,7772.99,-278.98,63.08,305.72,77,-3474.75,-45.69,-60.96,-172.33,2,-172.33
STALL_L_N5_P-0.010_M0.010_G0,stalled_underwater,277,7803.23,-248.74,62.45,394.47,80,-3702.28,-13.08,-170.94,-64.72,1,-122.68
STALL_L_N5_P-0.010_M0.010_G1,stalled_underwater,278,7945.88,-106.09,63.31,369.05,78,-3625.32,-7.0,-133.6,34.51,2,-94.65
STALL_L_N5_P-0.010_M0.010_G2,stalled_underwater,279,7737.82,-314.15,63.08,305.72,77,-3509.92,-86.63,-60.96,-166.56,2,-166.56
STALL_L_N5_P-0.010_M0.990_G0,stalled_underwater,277,7803.23,-248.74,62.45,394.47,80,-3702.28,-13.08,-170.94,-64.72,1,-122.68
STALL_L_N5_P-0.010_M0.990_G1,stalled_underwater,278,7945.88,-106.09,63.31,369.05,78,-3625.32,-7.0,-133.6,34.51,2,-94.65
STALL_L_N5_P-0.010_M0.990_G2,stalled_underwater,279,7737.82,-314.15,63.08,305.72,77,-3509.92,-86.63,-60.96,-166.56,2,-166.56
STALL_S_N3_P+0.000_M0.005_G0,stalled_underwater,279,6507.65,-1544.32,55.56,320.99,101,-3806.9,-735.66,-566.12,-242.54,0,-538.06
STALL_S_N3_P+0.000_M0.005_G1,stalled_underwater,278,6942.8,-1109.17,58.27,354.52,93,-3804.59,-416.75,-472.49,-219.93,2,-492.87
STALL_S_N3_P+0.000_M0.005_G2,stalled_underwater,278,7421.15,-630.82,60.07,316.29,87,-3606.19,-88.49,-442.59,-99.74,2,-454.95
STALL_S_N3_P+0.000_M0.010_G0,stalled_underwater,279,5547.6,-2504.37,50.54,474.67,118,-4156.23,-1235.71,-830.76,-437.9,0,-754.42
STALL_S_N3_P+0.000_M0.010_G1,stalled_underwater,281,5943.78,-2108.19,53.38,423.91,111,-4283.56,-832.84,-739.66,-535.69,1,-725.91
STALL_S_N3_P+0.000_M0.010_G2,stalled_underwater,279,6615.22,-1436.75,55.91,332.46,101,-3829.16,-491.96,-689.97,-254.82,1,-723.31
STALL_S_N3_P+0.000_M0.990_G0,stalled_underwater,278,5393.49,-2658.48,49.64,474.67,121,-4094.54,-1230.59,-859.99,-567.9,0,-783.65
STALL_S_N3_P+0.000_M0.990_G1,stalled_underwater,280,5804.82,-2247.15,52.5,423.91,114,-4206.72,-822.86,-794.09,-630.2,1,-780.34
STALL_S_N3_P+0.000_M0.990_G2,stalled_underwater,278,6553.82,-1498.15,55.04,304.25,104,-3681.65,-471.74,-686.57,-339.84,1,-748.12
STALL_S_N3_P-0.005_M0.005_G0,stalled_underwater,277,7104.1,-947.87,59.93,454.7,87,-3812.14,-108.85,-618.04,-220.98,1,-548.91
STALL_S_N3_P-0.005_M0.005_G1,stalled_underwater,278,7294.93,-757.04,61.15,336.27,84,-3865.87,-92.24,-451.4,-213.4,2,-412.53
STALL_S_N3_P-0.005_M0.005_G2,stalled_underwater,278,7430.47,-621.5,61.15,332.96,84,-3730.33,-75.66,-384.37,-161.47,3,-386.3
STALL_S_N3_P-0.005_M0.010_G0,stalled_underwater,278,6252.36,-1799.61,56.83,553.72,98,-4385.57,-606.42,-715.23,-477.96,0,-701.6
STALL_S_N3_P-0.005_M0.010_G1,stalled_underwater,279,6510.47,-1541.5,58.06,367.72,95,-4372.02,-542.15,-523.57,-475.78,0,-565.22
STALL_S_N3_P-0.005_M0.010_G2,stalled_underwater,278,6920.22,-1131.75,58.99,335.41,91,-3969.54,-393.07,-415.63,-323.05,0,-538.99
STALL_S_N3_P-0.005_M0.990_G0,stalled_underwater,277,5983.7,-2068.27,55.96,504.38,100,-4437.83,-628.11,-818.15,-622.01,0,-804.52
STALL_S_N3_P-0.005_M0.990_G1,stalled_underwater,278,6285.02,-1766.95,57.19,360.0,97,-4381.07,-563.84,-618.77,-584.34,0,-668.14
STALL_S_N3_P-0.005_M0.990_G2,stalled_underwater,278,6978.68,-1073.29,58.99,327.69,91,-3911.08,-414.76,-345.16,-313.37,1,-476.24
STALL_S_N3_P-0.010_M0.005_G0,stalled_underwater,277,7289.34,-762.63,61.73,465.24,82,-3870.58,-4.23,-527.03,-231.37,2,-333.32
STALL_S_N3_P-0.010_M0.005_G1,stalled_underwater,278,7424.47,-627.5,62.23,336.27,81,-3838.1,-33.99,-369.72,-223.79,2,-311.45
STALL_S_N3_P-0.010_M0.005_G2,stalled_underwater,279,7628.44,-423.53,62.72,330.1,80,-3718.4,-2.66,-245.54,-175.33,2,-226.97
STALL_S_N3_P-0.010_M0.010_G0,stalled_underwater,277,6637.34,-1414.63,59.93,467.69,89,-4524.86,-478.85,-632.95,-302.83,1,-546.54
STALL_S_N3_P-0.010_M0.010_G1,stalled_underwater,278,6818.81,-1233.16,60.43,341.92,88,-4446.04,-456.87,-475.64,-300.65,1,-524.67
STALL_S_N3_P-0.010_M0.010_G2,stalled_underwater,279,7139.94,-912.03,61.29,332.55,85,-4140.41,-262.37,-351.46,-298.2,1,-440.19
STALL_S_N3_P-0.010_M0.990_G0,stalled_underwater,278,6588.74,-1463.23,59.71,439.22,90,-4550.07,-474.41,-589.62,-399.2,1,-503.21
STALL_S_N3_P-0.010_M0.990_G1,stalled_underwater,278,6855.39,-1196.58,60.43,337.99,88,-4409.46,-452.43,-432.31,-311.84,1,-481.34
STALL_S_N3_P-0.010_M0.990_G2,stalled_underwater,279,7176.52,-875.45,61.29,332.55,85,-4103.83,-257.93,-308.13,-309.39,2,-396.86
STALL_S_N4_P+0.000_M0.005_G0,stalled_underwater,278,6942.8,-1109.17,58.27,354.52,93,-3804.59,-416.75,-472.49,-219.93,2,-492.87
STALL_S_N4_P+0.000_M0.005_G1,stalled_underwater,278,7421.15,-630.82,60.07,316.29,87,-3606.19,-88.49,-442.59,-99.74,2,-454.95
STALL_S_N4_P+0.000_M0.005_G2,stalled_underwater,277,7543.51,-508.46,61.73,346.47,83,-3846.6,10.82,-464.55,-54.73,1,-383.71
STALL_S_N4_P+0.000_M0.010_G0,stalled_underwater,281,5943.78,-2108.19,53.38,423.91,111,-4283.56,-832.84,-739.66,-535.69,1,-725.91
STALL_S_N4_P+0.000_M0.010_G1,stalled_underwater,279,6615.22,-1436.75,55.91,332.46,101,-3829.16,-491.96,-689.97,-254.82,1,-723.31
STALL_S_N4_P+0.000_M0.010_G2,stalled_underwater,277,7158.71,-893.26,58.48,341.01,93,-3912.07,-306.36,-430.01,-156.89,2,-584.89
STALL_S_N4_P+0.000_M0.990_G0,stalled_underwater,280,5804.82,-2247.15,52.5,423.91,114,-4206.72,-822.86,-794.09,-630.2,1,-780.34
STALL_S_N4_P+0.000_M0.990_G1,stalled_underwater,278,6553.82,-1498.15,55.04,304.25,104,-3681.65,-471.74,-686.57,-339.84,1,-748.12
STALL_S_N4_P+0.000_M0.990_G2,stalled_underwater,276,7037.47,-1014.5,57.25,317.3,97,-3729.65,-250.64,-571.29,-192.57,2,-754.38
