case,family,n,pnl,delta,wr,mdd,mh_n,mh_pnl,d_discover,d_validate,d_holdout,folds_better,worst_fold_delta
STALL_S_N6_P-0.010_M0.990_G2,stalled_underwater,278,7458.56,-593.41,62.23,330.1,81,-3986.78,-234.02,-277.56,-81.83,1,-228.75
STALL_S_N7_P+0.000_M0.005_G0,stalled_underwater,278,7584.16,-467.81,61.87,334.33,82,-3841.77,-32.83,-417.18,-17.8,1,-308.93
STALL_S_N7_P+0.000_M0.005_G1,stalled_underwater,278,7707.69,-344.28,62.59,336.86,80,-3730.02,29.67,-335.55,-38.4,2,-229.49
STALL_S_N7_P+0.000_M0.005_G2,stalled_underwater,278,7756.49,-295.48,62.95,332.73,79,-3748.73,-38.95,-238.31,-18.22,1,-146.04
STALL_S_N7_P+0.000_M0.010_G0,stalled_underwater,278,7162.27,-889.7,58.99,338.26,91,-4004.49,-262.58,-457.52,-169.6,0,-485.22
STALL_S_N7_P+0.000_M0.010_G1,stalled_underwater,278,7458.32,-593.65,61.87,323.81,82,-3919.51,-224.17,-323.89,-45.59,1,-228.75
STALL_S_N7_P+0.000_M0.010_G2,stalled_underwater,278,7807.09,-244.88,63.31,323.98,78,-3709.5,-58.54,-230.84,44.5,1,-128.4
STALL_S_N7_P+0.000_M0.990_G0,stalled_underwater,278,7163.66,-888.31,58.63,329.06,92,-3908.35,-230.32,-561.46,-96.53,1,-596.88
STALL_S_N7_P+0.000_M0.990_G1,stalled_underwater,278,7558.18,-493.79,61.87,320.37,82,-3819.65,-171.3,-317.39,-5.1,1,-231.59
STALL_S_N7_P+0.000_M0.990_G2,stalled_underwater,278,7694.33,-357.64,62.95,321.61,79,-3810.89,-45.53,-243.35,-68.76,1,-146.93
STALL_S_N7_P-0.005_M0.005_G0,stalled_underwater,278,7620.73,-431.24,62.59,334.33,80,-3816.98,-11.31,-417.18,-2.75,1,-308.93
STALL_S_N7_P-0.005_M0.005_G1,stalled_underwater,278,7783.3,-268.67,62.95,336.86,79,-3721.92,29.67,-261.13,-37.21,2,-155.07
STALL_S_N7_P-0.005_M0.005_G2,stalled_underwater,278,7768.52,-283.45,62.95,332.73,79,-3736.7,-38.95,-238.31,-6.19,1,-146.04
STALL_S_N7_P-0.005_M0.010_G0,stalled_underwater,278,7204.06,-847.91,60.79,336.78,86,-4130.64,-225.29,-457.52,-165.1,1,-485.22
STALL_S_N7_P-0.005_M0.010_G1,stalled_underwater,278,7527.05,-524.92,62.23,329.69,81,-3918.29,-224.17,-249.28,-51.47,1,-228.75
STALL_S_N7_P-0.005_M0.010_G2,stalled_underwater,278,7729.15,-322.82,62.95,323.98,79,-3776.07,-58.54,-238.25,-26.03,0,-138.06
STALL_S_N7_P-0.005_M0.990_G0,stalled_underwater,278,7218.38,-833.59,60.79,329.06,86,-4116.32,-222.68,-455.49,-155.42,1,-490.91
STALL_S_N7_P-0.005_M0.990_G1,stalled_underwater,278,7505.11,-546.86,62.23,325.76,81,-3940.23,-241.42,-242.78,-62.66,1,-233.42
STALL_S_N7_P-0.005_M0.990_G2,stalled_underwater,278,7666.85,-385.12,62.95,321.61,79,-3838.37,-70.25,-250.76,-64.11,0,-156.59
STALL_S_N7_P-0.010_M0.005_G0,stalled_underwater,278,7707.45,-344.52,62.95,330.1,79,-3797.77,-38.35,-303.42,-2.75,1,-199.4
STALL_S_N7_P-0.010_M0.005_G1,stalled_underwater,278,7755.61,-296.36,62.95,330.1,79,-3749.61,15.38,-254.37,-57.37,2,-155.07
STALL_S_N7_P-0.010_M0.005_G2,stalled_underwater,278,7762.09,-289.88,62.95,330.1,79,-3743.13,-48.01,-235.68,-6.19,1,-146.04
STALL_S_N7_P-0.010_M0.010_G0,stalled_underwater,278,7517.17,-534.8,62.23,332.55,82,-4096.03,-294.24,-214.0,-26.56,1,-258.21
STALL_S_N7_P-0.010_M0.010_G1,stalled_underwater,278,7481.85,-570.12,62.23,330.1,81,-3963.49,-238.46,-261.02,-70.64,1,-228.75
STALL_S_N7_P-0.010_M0.010_G2,stalled_underwater,278,7707.51,-344.46,62.95,330.1,79,-3797.71,-71.13,-252.35,-20.98,0,-146.04
STALL_S_N7_P-0.010_M0.990_G0,stalled_underwater,278,7485.31,-566.66,62.23,332.55,82,-4127.89,-289.8,-239.11,-37.75,2,-258.21
STALL_S_N7_P-0.010_M0.990_G1,stalled_underwater,278,7458.56,-593.41,62.23,330.1,81,-3986.78,-234.02,-277.56,-81.83,1,-228.75
STALL_S_N7_P-0.010_M0.990_G2,stalled_underwater,278,7660.88,-391.09,62.95,330.1,79,-3844.34,-61.15,-270.88,-59.06,1,-164.57
STALL_S_N8_P+0.000_M0.005_G0,stalled_underwater,278,7707.69,-344.28,62.59,336.86,80,-3730.02,29.67,-335.55,-38.4,2,-229.49
STALL_S_N8_P+0.000_M0.005_G1,stalled_underwater,278,7756.49,-295.48,62.95,332.73,79,-3748.73,-38.95,-238.31,-18.22,1,-146.04
STALL_S_N8_P+0.000_M0.005_G2,stalled_underwater,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
STALL_S_N8_P+0.000_M0.010_G0,stalled_underwater,278,7458.32,-593.65,61.87,323.81,82,-3919.51,-224.17,-323.89,-45.59,1,-228.75
STALL_S_N8_P+0.000_M0.010_G1,stalled_underwater,278,7807.09,-244.88,63.31,323.98,78,-3709.5,-58.54,-230.84,44.5,1,-128.4
STALL_S_N8_P+0.000_M0.010_G2,stalled_underwater,278,8024.36,-27.61,63.31,330.1,78,-3566.31,-44.84,10.06,7.17,2,-44.84
STALL_S_N8_P+0.000_M0.990_G0,stalled_underwater,278,7558.18,-493.79,61.87,320.37,82,-3819.65,-171.3,-317.39,-5.1,1,-231.59
STALL_S_N8_P+0.000_M0.990_G1,stalled_underwater,278,7694.33,-357.64,62.95,321.61,79,-3810.89,-45.53,-243.35,-68.76,1,-146.93
STALL_S_N8_P+0.000_M0.990_G2,stalled_underwater,278,8040.59,-11.38,63.31,330.1,78,-3550.08,-44.84,26.29,7.17,2,-44.84
STALL_S_N8_P-0.005_M0.005_G0,stalled_underwater,278,7783.3,-268.67,62.95,336.86,79,-3721.92,29.67,-261.13,-37.21,2,-155.07
STALL_S_N8_P-0.005_M0.005_G1,stalled_underwater,278,7768.52,-283.45,62.95,332.73,79,-3736.7,-38.95,-238.31,-6.19,1,-146.04
STALL_S_N8_P-0.005_M0.005_G2,stalled_underwater,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
STALL_S_N8_P-0.005_M0.010_G0,stalled_underwater,278,7527.05,-524.92,62.23,329.69,81,-3918.29,-224.17,-249.28,-51.47,1,-228.75
STALL_S_N8_P-0.005_M0.010_G1,stalled_underwater,278,7729.15,-322.82,62.95,323.98,79,-3776.07,-58.54,-238.25,-26.03,0,-138.06
STALL_S_N8_P-0.005_M0.010_G2,stalled_underwater,278,8024.36,-27.61,63.31,330.1,78,-3566.31,-44.84,10.06,7.17,2,-44.84
STALL_S_N8_P-0.005_M0.990_G0,stalled_underwater,278,7505.11,-546.86,62.23,325.76,81,-3940.23,-241.42,-242.78,-62.66,1,-233.42
STALL_S_N8_P-0.005_M0.990_G1,stalled_underwater,278,7666.85,-385.12,62.95,321.61,79,-3838.37,-70.25,-250.76,-64.11,0,-156.59
STALL_S_N8_P-0.005_M0.990_G2,stalled_underwater,278,8040.59,-11.38,63.31,330.1,78,-3550.08,-44.84,26.29,7.17,2,-44.84
STALL_S_N8_P-0.010_M0.005_G0,stalled_underwater,278,7755.61,-296.36,62.95,330.1,79,-3749.61,15.38,-254.37,-57.37,2,-155.07
STALL_S_N8_P-0.010_M0.005_G1,stalled_underwater,278,7762.09,-289.88,62.95,330.1,79,-3743.13,-48.01,-235.68,-6.19,1,-146.04
STALL_S_N8_P-0.010_M0.005_G2,stalled_underwater,278,8051.97,0.0,63.31,330.1,78,-3538.7,0.0,0.0,0.0,0,0.0
STALL_S_N8_P-0.010_M0.010_G0,stalled_underwater,278,7481.85,-570.12,62.23,330.1,81,-3963.49,-238.46,-261.02,-70.64,1,-228.75
STALL_S_N8_P-0.010_M0.010_G1,stalled_underwater,278,7707.51,-344.46,62.95,330.1,79,-3797.71,-71.13,-252.35,-20.98,0,-146.04
STALL_S_N8_P-0.010_M0.010_G2,stalled_underwater,278,8007.13,-44.84,63.31,330.1,78,-3583.54,-44.84,0.0,0.0,0,-44.84
STALL_S_N8_P-0.010_M0.990_G0,stalled_underwater,278,7458.56,-593.41,62.23,330.1,81,-3986.78,-234.02,-277.56,-81.83,1,-228.75
STALL_S_N8_P-0.010_M0.990_G1,stalled_underwater,278,7660.88,-391.09,62.95,330.1,79,-3844.34,-61.15,-270.88,-59.06,1,-164.57
STALL_S_N8_P-0.010_M0.990_G2,stalled_underwater,278,8023.36,-28.61,63.31,330.1,78,-3567.31,-44.84,16.23,0.0,1,-44.84
GRACE_L_LOSS0.0050_X1_IMP0,shallow_loss_grace,281,8154.0,102.03,64.06,308.85,75,-3547.83,90.7,57.93,-46.6,3,-9.62
GRACE_L_LOSS0.0050_X1_IMP1,shallow_loss_grace,278,8069.75,17.78,63.67,328.07,77,-3523.89,25.37,2.03,-9.62,3,-9.62
GRACE_L_LOSS0.0050_X2_IMP0,shallow_loss_grace,280,8174.5,122.53,64.64,296.56,72,-3500.71,98.61,33.54,-9.62,4,-9.62
GRACE_L_LOSS0.0050_X2_IMP1,shallow_loss_grace,278,8062.92,10.95,64.03,352.46,75,-3504.1,42.93,-22.36,-9.62,2,-22.36
GRACE_L_LOSS0.0050_X3_IMP0,shallow_loss_grace,280,8174.5,122.53,64.64,296.56,72,-3500.71,98.61,33.54,-9.62,4,-9.62
GRACE_L_LOSS0.0050_X3_IMP1,shallow_loss_grace,278,8062.92,10.95,64.03,352.46,75,-3504.1,42.93,-22.36,-9.62,2,-22.36
GRACE_L_LOSS0.0050_X4_IMP0,shallow_loss_grace,280,8174.5,122.53,64.64,296.56,72,-3500.71,98.61,33.54,-9.62,4,-9.62
GRACE_L_LOSS0.0050_X4_IMP1,shallow_loss_grace,278,8062.92,10.95,64.03,352.46,75,-3504.1,42.93,-22.36,-9.62,2,-22.36
GRACE_L_LOSS0.0050_X5_IMP0,shallow_loss_grace,280,8174.5,122.53,64.64,296.56,72,-3500.71,98.61,33.54,-9.62,4,-9.62
GRACE_L_LOSS0.0050_X5_IMP1,shallow_loss_grace,278,8062.92,10.95,64.03,352.46,75,-3504.1,42.93,-22.36,-9.62,2,-22.36
GRACE_L_LOSS0.0050_X6_IMP0,shallow_loss_grace,280,8174.5,122.53,64.64,296.56,72,-3500.71,98.61,33.54,-9.62,4,-9.62
GRACE_L_LOSS0.0050_X6_IMP1,shallow_loss_grace,278,8062.92,10.95,64.03,352.46,75,-3504.1,42.93,-22.36,-9.62,2,-22.36
GRACE_L_LOSS0.0075_X1_IMP0,shallow_loss_grace,279,8188.2,136.23,64.52,276.3,73,-3496.29,133.21,-0.07,3.09,5,-58.0
GRACE_L_LOSS0.0075_X1_IMP1,shallow_loss_grace,276,8054.26,2.29,63.77,328.07,76,-3519.8,67.88,-55.97,-9.62,4,-58.0
GRACE_L_LOSS0.0075_X2_IMP0,shallow_loss_grace,279,8131.85,79.88,64.87,296.65,71,-3526.02,79.61,-23.18,23.45,4,-58.0
GRACE_L_LOSS0.0075_X2_IMP1,shallow_loss_grace,276,7997.81,-54.16,64.13,352.46,74,-3549.63,35.82,-80.36,-9.62,2,-58.0
GRACE_L_LOSS0.0075_X3_IMP0,shallow_loss_grace,279,8109.18,57.21,64.87,298.15,70,-3538.51,65.33,-24.68,16.56,4,-58.0
GRACE_L_LOSS0.0075_X3_IMP1,shallow_loss_grace,276,7997.81,-54.16,64.13,352.46,74,-3549.63,35.82,-80.36,-9.62,2,-58.0
GRACE_L_LOSS0.0075_X4_IMP0,shallow_loss_grace,279,8050.54,-1.43,64.87,313.67,70,-3597.15,65.33,-40.2,-26.56,3,-58.0
GRACE_L_LOSS0.0075_X4_IMP1,shallow_loss_grace,276,7997.81,-54.16,64.13,352.46,74,-3549.63,35.82,-80.36,-9.62,2,-58.0
GRACE_L_LOSS0.0075_X5_IMP0,shallow_loss_grace,279,8050.54,-1.43,64.87,313.67,70,-3597.15,65.33,-40.2,-26.56,3,-58.0
GRACE_L_LOSS0.0075_X5_IMP1,shallow_loss_grace,276,7997.81,-54.16,64.13,352.46,74,-3549.63,35.82,-80.36,-9.62,2,-58.0
GRACE_L_LOSS0.0075_X6_IMP0,shallow_loss_grace,279,8050.54,-1.43,64.87,313.67,70,-3597.15,65.33,-40.2,-26.56,3,-58.0
GRACE_L_LOSS0.0075_X6_IMP1,shallow_loss_grace,276,7997.81,-54.16,64.13,352.46,74,-3549.63,35.82,-80.36,-9.62,2,-58.0
GRACE_L_LOSS0.0100_X1_IMP0,shallow_loss_grace,276,7976.58,-75.39,64.13,304.56,73,-3546.35,-75.91,-3.18,3.7,3,-89.44
GRACE_L_LOSS0.0100_X1_IMP1,shallow_loss_grace,276,8028.17,-23.8,63.77,328.07,76,-3545.89,41.79,-55.97,-9.62,3,-58.0
GRACE_L_LOSS0.0100_X2_IMP0,shallow_loss_grace,271,7872.31,-179.66,64.21,316.45,70,-3564.28,-175.39,-30.21,25.94,2,-101.33
GRACE_L_LOSS0.0100_X2_IMP1,shallow_loss_grace,276,7971.72,-80.25,64.13,352.46,74,-3575.72,9.73,-80.36,-9.62,1,-58.0
GRACE_L_LOSS0.0100_X3_IMP0,shallow_loss_grace,271,7831.61,-220.36,64.21,328.45,69,-3594.8,-201.67,-31.71,13.02,2,-113.33
GRACE_L_LOSS0.0100_X3_IMP1,shallow_loss_grace,276,7971.72,-80.25,64.13,352.46,74,-3575.72,9.73,-80.36,-9.62,1,-58.0
GRACE_L_LOSS0.0100_X4_IMP0,shallow_loss_grace,271,7785.89,-266.08,64.21,328.45,69,-3640.52,-201.22,-47.23,-17.63,1,-113.33
GRACE_L_LOSS0.0100_X4_IMP1,shallow_loss_grace,276,7971.72,-80.25,64.13,352.46,74,-3575.72,9.73,-80.36,-9.62,1,-58.0
GRACE_L_LOSS0.0100_X5_IMP0,shallow_loss_grace,271,7775.38,-276.59,64.21,328.45,69,-3651.03,-204.8,-50.27,-21.52,1,-113.33
GRACE_L_LOSS0.0100_X5_IMP1,shallow_loss_grace,276,7971.72,-80.25,64.13,352.46,74,-3575.72,9.73,-80.36,-9.62,1,-58.0
GRACE_L_LOSS0.0100_X6_IMP0,shallow_loss_grace,271,7776.17,-275.8,64.21,328.45,69,-3650.24,-193.71,-50.27,-31.82,1,-113.33
GRACE_L_LOSS0.0100_X6_IMP1,shallow_loss_grace,276,7971.72,-80.25,64.13,352.46,74,-3575.72,9.73,-80.36,-9.62,1,-58.0
GRACE_L_LOSS0.0125_X1_IMP0,shallow_loss_grace,276,7801.04,-250.93,64.13,304.56,72,-3538.36,-75.91,-50.68,-124.34,2,-123.28
GRACE_L_LOSS0.0125_X1_IMP1,shallow_loss_grace,276,7919.92,-132.05,63.77,328.07,75,-3470.61,41.79,-30.41,-143.43,3,-143.43
GRACE_L_LOSS0.0125_X2_IMP0,shallow_loss_grace,273,7643.17,-408.8,64.1,316.45,69,-3611.84,-203.03,-65.66,-140.11,1,-140.93
GRACE_L_LOSS0.0125_X2_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0125_X3_IMP0,shallow_loss_grace,270,7691.72,-360.25,64.81,328.45,65,-3462.23,-274.08,-33.11,-53.06,1,-185.74
GRACE_L_LOSS0.0125_X3_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0125_X4_IMP0,shallow_loss_grace,270,7683.74,-368.23,65.19,322.63,64,-3496.66,-267.53,-16.99,-83.71,1,-179.64
GRACE_L_LOSS0.0125_X4_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0125_X5_IMP0,shallow_loss_grace,270,7657.44,-394.53,65.19,331.52,64,-3522.96,-280.28,-26.65,-87.6,1,-188.81
GRACE_L_LOSS0.0125_X5_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0125_X6_IMP0,shallow_loss_grace,270,7640.16,-411.81,65.19,338.03,64,-3540.24,-269.19,-44.72,-97.9,0,-188.81
GRACE_L_LOSS0.0125_X6_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0150_X1_IMP0,shallow_loss_grace,276,7801.62,-250.35,64.13,304.56,72,-3537.78,-88.59,-37.42,-124.34,2,-123.28
GRACE_L_LOSS0.0150_X1_IMP1,shallow_loss_grace,276,7919.92,-132.05,63.77,328.07,75,-3470.61,41.79,-30.41,-143.43,3,-143.43
GRACE_L_LOSS0.0150_X2_IMP0,shallow_loss_grace,273,7669.19,-382.78,64.1,316.45,69,-3585.82,-211.6,-31.07,-140.11,1,-140.93
GRACE_L_LOSS0.0150_X2_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0150_X3_IMP0,shallow_loss_grace,270,7716.14,-335.83,64.81,328.45,65,-3437.81,-326.57,43.8,-53.06,1,-185.74
GRACE_L_LOSS0.0150_X3_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0150_X4_IMP0,shallow_loss_grace,270,7749.06,-302.91,65.56,322.63,63,-3475.25,-320.02,100.82,-83.71,2,-179.64
GRACE_L_LOSS0.0150_X4_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0150_X5_IMP0,shallow_loss_grace,270,7738.53,-313.44,65.56,331.52,63,-3485.78,-332.77,108.84,-89.51,2,-188.81
GRACE_L_LOSS0.0150_X5_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0150_X6_IMP0,shallow_loss_grace,270,7709.71,-342.26,65.56,335.34,63,-3514.6,-325.5,92.95,-109.71,2,-192.63
GRACE_L_LOSS0.0150_X6_IMP1,shallow_loss_grace,275,7832.73,-219.24,64.0,352.46,72,-3499.01,9.73,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0175_X1_IMP0,shallow_loss_grace,278,7707.94,-344.03,64.03,304.56,73,-3643.73,-182.27,-37.42,-124.34,1,-123.28
GRACE_L_LOSS0.0175_X1_IMP1,shallow_loss_grace,276,7873.57,-178.4,63.77,328.07,75,-3516.96,-4.56,-30.41,-143.43,2,-143.43
GRACE_L_LOSS0.0175_X2_IMP0,shallow_loss_grace,275,7660.33,-391.64,64.0,316.45,70,-3606.95,-220.46,-31.07,-140.11,1,-140.93
GRACE_L_LOSS0.0175_X2_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0175_X3_IMP0,shallow_loss_grace,272,7738.41,-313.56,64.71,328.45,65,-3423.64,-311.83,43.8,-45.53,1,-175.6
GRACE_L_LOSS0.0175_X3_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0175_X4_IMP0,shallow_loss_grace,272,7796.91,-255.06,65.44,322.35,62,-3406.53,-300.06,100.82,-55.82,3,-183.65
GRACE_L_LOSS0.0175_X4_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0175_X5_IMP0,shallow_loss_grace,272,7760.97,-291.0,65.44,331.52,62,-3442.47,-302.37,83.08,-71.71,3,-182.38
GRACE_L_LOSS0.0175_X5_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0175_X6_IMP0,shallow_loss_grace,269,7741.09,-310.88,65.43,317.82,61,-3446.02,-284.98,67.19,-93.09,3,-176.08
GRACE_L_LOSS0.0175_X6_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0200_X1_IMP0,shallow_loss_grace,278,7700.27,-351.7,64.03,304.56,73,-3651.4,-189.94,-37.42,-124.34,1,-123.28
GRACE_L_LOSS0.0200_X1_IMP1,shallow_loss_grace,276,7873.57,-178.4,63.77,328.07,75,-3516.96,-4.56,-30.41,-143.43,2,-143.43
GRACE_L_LOSS0.0200_X2_IMP0,shallow_loss_grace,272,7381.33,-670.64,63.6,316.45,70,-3616.3,-499.46,-31.07,-140.11,1,-307.06
GRACE_L_LOSS0.0200_X2_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0200_X3_IMP0,shallow_loss_grace,270,7355.26,-696.71,64.07,328.45,66,-3537.14,-694.98,43.8,-45.53,1,-394.02
GRACE_L_LOSS0.0200_X3_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0200_X4_IMP0,shallow_loss_grace,270,7400.57,-651.4,64.81,322.35,63,-3533.22,-696.4,100.82,-55.82,2,-387.84
GRACE_L_LOSS0.0200_X4_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0200_X5_IMP0,shallow_loss_grace,270,7368.46,-683.51,64.81,331.52,63,-3565.33,-694.88,83.08,-71.71,2,-384.01
GRACE_L_LOSS0.0200_X5_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0200_X6_IMP0,shallow_loss_grace,267,7352.98,-698.99,64.79,317.82,62,-3564.48,-673.09,67.19,-93.09,2,-379.61
GRACE_L_LOSS0.0200_X6_IMP1,shallow_loss_grace,275,7786.38,-265.59,64.0,352.46,72,-3545.36,-36.62,-47.02,-181.95,1,-181.95
GRACE_L_LOSS0.0225_X1_IMP0,shallow_loss_grace,278,7703.81,-348.16,64.03,304.56,73,-3647.86,-189.94,-33.88,-124.34,1,-123.28
GRACE_L_LOSS0.0225_X1_IMP1,shallow_loss_grace,276,7877.11,-174.86,63.77,324.53,75,-3513.42,-4.56,-26.87,-143.43,2,-143.43
GRACE_L_LOSS0.0225_X2_IMP0,shallow_loss_grace,272,7392.45,-659.52,63.6,316.45,70,-3605.18,-499.46,-19.95,-140.11,1,-307.06
GRACE_L_LOSS0.0225_X2_IMP1,shallow_loss_grace,275,7797.5,-254.47,64.0,341.34,72,-3534.24,-36.62,-35.9,-181.95,1,-181.95
GRACE_L_LOSS0.0225_X3_IMP0,shallow_loss_grace,270,7350.86,-701.11,64.07,328.45,66,-3541.54,-701.8,46.22,-45.53,1,-394.02
GRACE_L_LOSS0.0225_X3_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_L_LOSS0.0225_X4_IMP0,shallow_loss_grace,270,7405.19,-646.78,64.81,322.35,63,-3528.6,-703.22,112.26,-55.82,2,-387.84
GRACE_L_LOSS0.0225_X4_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_L_LOSS0.0225_X5_IMP0,shallow_loss_grace,270,7368.29,-683.68,64.81,331.52,63,-3565.5,-701.7,89.73,-71.71,2,-384.01
GRACE_L_LOSS0.0225_X5_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_L_LOSS0.0225_X6_IMP0,shallow_loss_grace,267,7351.98,-699.99,64.79,317.82,62,-3565.48,-679.91,73.01,-93.09,2,-379.61
GRACE_L_LOSS0.0225_X6_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_L_LOSS0.0250_X1_IMP0,shallow_loss_grace,278,7703.81,-348.16,64.03,304.56,73,-3647.86,-189.94,-33.88,-124.34,1,-123.28
GRACE_L_LOSS0.0250_X1_IMP1,shallow_loss_grace,276,7877.11,-174.86,63.77,324.53,75,-3513.42,-4.56,-26.87,-143.43,2,-143.43
GRACE_L_LOSS0.0250_X2_IMP0,shallow_loss_grace,272,7392.45,-659.52,63.6,316.45,70,-3605.18,-499.46,-19.95,-140.11,1,-307.06
GRACE_L_LOSS0.0250_X2_IMP1,shallow_loss_grace,275,7797.5,-254.47,64.0,341.34,72,-3534.24,-36.62,-35.9,-181.95,1,-181.95
GRACE_L_LOSS0.0250_X3_IMP0,shallow_loss_grace,270,7339.73,-712.24,64.07,328.45,66,-3552.67,-712.93,46.22,-45.53,1,-405.15
GRACE_L_LOSS0.0250_X3_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_L_LOSS0.0250_X4_IMP0,shallow_loss_grace,270,7366.33,-685.64,64.81,322.35,63,-3567.46,-742.08,112.26,-55.82,2,-398.97
GRACE_L_LOSS0.0250_X4_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_L_LOSS0.0250_X5_IMP0,shallow_loss_grace,270,7350.99,-700.98,64.81,331.52,63,-3582.8,-719.0,89.73,-71.71,2,-403.88
GRACE_L_LOSS0.0250_X5_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_L_LOSS0.0250_X6_IMP0,shallow_loss_grace,263,7032.68,-1019.29,64.26,317.82,61,-3511.05,-999.21,73.01,-93.09,2,-423.65
GRACE_L_LOSS0.0250_X6_IMP1,shallow_loss_grace,275,7788.8,-263.17,64.0,350.04,72,-3542.94,-36.62,-44.6,-181.95,1,-181.95
GRACE_S_LOSS0.0050_X1_IMP0,shallow_loss_grace,278,8160.81,108.84,64.03,330.1,75,-3539.73,33.68,0.07,75.09,3,-25.6
GRACE_S_LOSS0.0050_X1_IMP1,shallow_loss_grace,278,8173.96,121.99,64.03,330.1,75,-3526.58,36.15,0.07,85.77,3,-25.6
GRACE_S_LOSS0.0050_X2_IMP0,shallow_loss_grace,278,8146.17,94.2,64.03,330.1,75,-3554.37,22.71,-6.86,78.35,2,-25.6
GRACE_S_LOSS0.0050_X2_IMP1,shallow_loss_grace,278,8167.03,115.06,64.03,330.1,75,-3533.51,36.15,-6.86,85.77,2,-25.6
GRACE_S_LOSS0.0050_X3_IMP0,shallow_loss_grace,278,8147.59,95.62,64.03,330.1,75,-3552.95,22.71,-6.86,79.77,2,-25.6
GRACE_S_LOSS0.0050_X3_IMP1,shallow_loss_grace,278,8167.03,115.06,64.03,330.1,75,-3533.51,36.15,-6.86,85.77,2,-25.6
