bar,side,root_entry_bar,decision_ts,observed_price_return,known_fee_fraction
758,S,748,2024-10-10 02:00:00,0.0006982092985051702,0.001
1742,S,1732,2024-11-20 02:00:00,0.00010255029771633062,0.001
3278,S,3268,2025-01-23 02:00:00,0.0007027898627885998,0.001
5342,L,5336,2025-04-19 02:00:00,0.0007170307379755769,0.001
7830,L,7823,2025-07-31 18:00:00,0.00014504052069552742,0.001
11816,L,11810,2026-01-13 20:00:00,0.0006675865946057513,0.001
16202,L,16195,2026-07-15 14:00:00,0.00032959613840910507,0.001
16573,L,16567,2026-07-31 01:00:00,0.0005006518904824286,0.001
