side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
S,2025-04-20 16:00:00,2025-04-21 04:00:00,1596.63,1589.06,14.964944915228106,MH,2025-04
L,2025-04-21 05:00:00,2025-04-21 17:00:00,1589.05,1641.99,129.26201189389903,MH,2025-04
L,2025-04-22 17:00:00,2025-04-23 05:00:00,1627.07,1753.65,307.1851364723095,MH,2025-04
L,2025-04-23 06:00:00,2025-04-23 18:00:00,1753.65,1802.96,108.47398283579948,MH,2025-04
S,2025-04-24 12:00:00,2025-04-25 00:00:00,1767.29,1769.38,-8.73040644150116,MH,2025-04
S,2025-04-25 11:00:00,2025-04-25 22:00:00,1743.78,1804.8122999999998,-143.99999999999966,SL,2025-04
L,2025-04-27 07:00:00,2025-04-27 19:00:00,1815.37,1805.04,-26.761200196103115,MH,2025-04
S,2025-04-28 00:00:00,2025-04-28 12:00:00,1792.88,1786.85,9.453214939092856,MH,2025-04
L,2025-04-28 17:00:00,2025-04-29 00:00:00,1808.49,1745.19285,-144.00000000000023,SL,2025-04
L,2025-04-29 15:00:00,2025-04-30 03:00:00,1820.37,1820.92,-2.791454484527471,MH,2025-04
S,2025-04-30 06:00:00,2025-04-30 18:00:00,1799.25,1806.6,-20.340141725718848,MH,2025-04
L,2025-05-01 05:00:00,2025-05-01 17:00:00,1793.0,1816.61,48.67150027886201,MH,2025-05
S,2025-05-02 07:00:00,2025-05-02 19:00:00,1837.89,1832.39,7.970248491476639,MH,2025-05
S,2025-05-03 10:00:00,2025-05-03 22:00:00,1827.99,1834.29,-17.785633400620256,MH,2025-05
L,2025-05-04 06:00:00,2025-05-04 18:00:00,1840.29,1826.36,-34.277836645311474,MH,2025-05
L,2025-05-05 05:00:00,2025-05-05 17:00:00,1835.41,1822.77,-31.546978604235782,MH,2025-05
S,2025-05-06 14:00:00,2025-05-07 02:00:00,1798.03,1789.04,15.999666301452166,MH,2025-05
L,2025-05-07 07:00:00,2025-05-07 19:00:00,1810.24,1835.48,51.771610394201886,MH,2025-05
L,2025-05-08 09:00:00,2025-05-08 21:00:00,1826.19,1975.36,322.7348961499074,MH,2025-05
L,2025-05-09 05:00:00,2025-05-09 17:00:00,2184.46,2341.09,282.80772364794984,MH,2025-05
L,2025-05-10 15:00:00,2025-05-11 03:00:00,2366.61,2498.35,218.66448633277093,MH,2025-05
L,2025-05-11 06:00:00,2025-05-11 18:00:00,2532.65,2509.5,-40.56249383057286,MH,2025-05
L,2025-05-12 09:00:00,2025-05-12 21:00:00,2530.2,2556.99,38.35238321081332,MH,2025-05
L,2025-05-13 20:00:00,2025-05-14 08:00:00,2512.25,2694.93,286.8627724151654,MH,2025-05
L,2025-05-15 09:00:00,2025-05-15 15:00:00,2630.94,2538.8571,-143.9999999999998,SL,2025-05
S,2025-05-15 16:00:00,2025-05-16 04:00:00,2529.59,2535.83,-13.867211682525282,MH,2025-05
L,2025-05-16 18:00:00,2025-05-17 06:00:00,2610.44,2544.63,-104.8412374925299,MH,2025-05
S,2025-05-17 06:00:00,2025-05-17 18:00:00,2566.24,2484.81,122.92499532389776,MH,2025-05
L,2025-05-18 05:00:00,2025-05-18 17:00:00,2488.05,2506.86,26.240549828178604,MH,2025-05
S,2025-05-19 05:00:00,2025-05-19 07:00:00,2392.4,2476.134,-143.9999999999999,SL,2025-05
L,2025-05-20 11:00:00,2025-05-20 21:00:00,2566.02,2476.2093,-144.0,SL,2025-05
L,2025-05-21 05:00:00,2025-05-21 17:00:00,2512.59,2522.63,11.983507058453569,MH,2025-05
L,2025-05-22 12:00:00,2025-05-23 00:00:00,2628.59,2644.99,20.956345417124215,MH,2025-05
L,2025-05-23 11:00:00,2025-05-23 19:00:00,2704.94,2610.2671,-144.00000000000003,SL,2025-05
S,2025-05-23 20:00:00,2025-05-24 08:00:00,2565.32,2514.99,74.4775388645477,MH,2025-05
S,2025-05-25 06:00:00,2025-05-25 18:00:00,2539.19,2491.52,71.09481370043214,MH,2025-05
L,2025-05-26 07:00:00,2025-05-26 19:00:00,2547.96,2566.75,25.498108290553954,MH,2025-05
