side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
L,2025-04-19 13:00:00,2025-04-20 01:00:00,1602.84,1618.03,33.90771380799095,MH,2025-04
S,2025-04-20 19:00:00,2025-04-21 07:00:00,1573.8,1586.56,-36.43105858431819,MH,2025-04
L,2025-04-21 11:00:00,2025-04-21 23:00:00,1632.0,1622.5,-27.284313725490197,MH,2025-04
S,2025-04-22 03:00:00,2025-04-22 15:00:00,1566.81,1621.6483499999997,-143.9999999999994,SL,2025-04
L,2025-04-23 11:00:00,2025-04-23 23:00:00,1791.31,1793.7,1.3368763642252883,MH,2025-04
L,2025-04-25 15:00:00,2025-04-26 03:00:00,1776.18,1801.45,52.9086466461732,MH,2025-04
L,2025-04-27 04:00:00,2025-04-27 16:00:00,1812.22,1809.06,-10.974870600699875,MH,2025-04
S,2025-04-28 07:00:00,2025-04-28 19:00:00,1793.6,1815.0,-51.725245316681736,MH,2025-04
S,2025-04-29 00:00:00,2025-04-29 12:00:00,1762.08,1791.72,-71.2841187687281,MH,2025-04
L,2025-04-30 20:00:00,2025-04-30 21:00:00,1814.79,1751.27235,-144.0,SL,2025-04
L,2025-05-01 05:00:00,2025-05-01 17:00:00,1793.0,1816.61,48.67150027886201,MH,2025-05
S,2025-05-02 04:00:00,2025-05-02 16:00:00,1842.11,1822.7,38.14732019260491,MH,2025-05
L,2025-05-02 21:00:00,2025-05-03 09:00:00,1840.1,1828.0,-30.302918319656342,MH,2025-05
L,2025-05-04 06:00:00,2025-05-04 18:00:00,1840.29,1826.36,-34.277836645311474,MH,2025-05
S,2025-05-04 18:00:00,2025-05-05 06:00:00,1827.0,1816.93,18.047071702243976,MH,2025-05
S,2025-05-05 10:00:00,2025-05-05 22:00:00,1790.78,1803.55,-32.523883447436276,MH,2025-05
S,2025-05-06 20:00:00,2025-05-07 08:00:00,1769.09,1831.00815,-143.99999999999991,SL,2025-05
L,2025-05-07 16:00:00,2025-05-08 04:00:00,1837.27,1797.45,-90.69384467171386,MH,2025-05
L,2025-05-08 09:00:00,2025-05-08 21:00:00,1826.19,1975.36,322.7348961499074,MH,2025-05
L,2025-05-08 23:00:00,2025-05-09 11:00:00,1988.51,2204.56,430.596758376875,MH,2025-05
L,2025-05-09 15:00:00,2025-05-10 03:00:00,2255.94,2330.69,128.53898596593882,MH,2025-05
L,2025-05-11 20:00:00,2025-05-11 23:00:00,2529.36,2440.8324000000002,-143.99999999999983,SL,2025-05
S,2025-05-12 00:00:00,2025-05-12 09:00:00,2461.22,2547.3626999999997,-143.99999999999983,SL,2025-05
L,2025-05-13 22:00:00,2025-05-14 10:00:00,2548.59,2637.17,135.02589274853926,MH,2025-05
S,2025-05-17 09:00:00,2025-05-17 21:00:00,2499.64,2460.46,58.69702837208533,MH,2025-05
L,2025-05-18 17:00:00,2025-05-19 03:00:00,2516.27,2428.20055,-143.99999999999991,SL,2025-05
S,2025-05-19 04:00:00,2025-05-19 07:00:00,2406.78,2491.0173,-143.99999999999963,SL,2025-05
S,2025-05-19 13:00:00,2025-05-19 22:00:00,2364.88,2447.6508,-143.99999999999963,SL,2025-05
L,2025-05-20 01:00:00,2025-05-20 13:00:00,2509.0,2558.33,74.64487843762444,MH,2025-05
S,2025-05-20 16:00:00,2025-05-21 04:00:00,2531.21,2512.58,25.440465232043344,MH,2025-05
L,2025-05-22 07:00:00,2025-05-22 19:00:00,2534.59,2649.71,177.6782990542847,MH,2025-05
S,2025-05-23 04:00:00,2025-05-23 10:00:00,2634.03,2726.22105,-143.99999999999983,SL,2025-05
