name,slip,status,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours,expectancy,avg_win,avg_loss,mh_pct,tail5_mean,exposure_hours,exposure_pct,position_hours,max_simultaneous,loss_total,events,clusters24h,late_clusters24h
baseline,0.0,BASELINE,269.0,7926.701053608433,7926.701053608431,-7.3889463915683145,2.989664924093395,63.19702602230484,368.53124739577197,-296.1102480460622,75.0,-3330.5362822248544,2.0,-167.78402024567558,1631.0,29.467290162113127,70.06258076209826,-40.24179470654819,27.881040892193308,-100.55641096308288,1622.0,9.258519321879103,1631.0,2.0,3983.937675948271,,,
baseline,2.0,BASELINE,269.0,7582.922535028697,7582.922535028697,-7.277464971303248,2.847548867168684,62.45353159851301,381.2718771909613,-308.4193224269875,77.0,-3460.782690566977,2.0,-168.83400504668492,1633.0,28.1893031041959,69.56689010967396,-40.63678221184684,28.62453531598513,-102.07710962881504,1624.0,9.269935498601518,1633.0,2.0,4104.315003396531,,,
baseline,5.0,BASELINE,267.0,7014.882180315111,7014.882180315108,-6.867819684892545,2.655476236953708,61.42322097378277,400.3716378349627,-340.7502925427889,78.0,-3593.178874164472,2.0,-170.39398223679396,1632.0,26.272966967472314,68.61135580175443,-41.13961331235553,29.213483146067414,-104.35565762793806,1624.0,9.269935498601518,1632.0,2.0,4237.380171172619,,,
G_tp_close,,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,,,,,46.0,44.0,14.0
H_no_opposite_overlap,,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,3.0
I_passive_5s,,DATA_LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,
